blasting,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
"night, four blasts",off,101,45,45,62.8,275.0,24.02,781.8,7205.8,0,11,0,2166,72,2,46.7,111.4,139.4,73.1,45.0,121.2,2040.2,7811.2,2868.6,0,0,0,0,0,260,0.9346153846153846,0,9,34.994,630.454645536,260,0.7076923076923077,2,9,42.588,627.327673541,283,0.9611307420494699,0,6,38.486,1726.966,283,0.8904593639575972,0,6,45.046,1718.899,260,0.6961538461538461,0,68,34.994,684.9,260,0.5269230769230769,2,68,42.588,630.3,92,0.9565217391304348,0,1,30.811,630.454645536
"night, four blasts",off,202,62,62,65.6,274.8,24.0,1287.2,9347.9,0,5,0,2230,96,0,41.1,111.4,192.4,,47.7,131.3,4691.1,10831.1,4639.8,0,0,0,0,0,127,0.968503937007874,0,1,35.179,753.207914244,127,0.7244094488188977,0,1,44.19,798.202610041,325,0.9907692307692307,0,2,32.101,1736.124,325,0.8830769230769231,0,2,37.891,1734.04,127,0.84251968503937,0,10,35.179,763.3,127,0.6456692913385826,0,10,44.19,798.9,54,0.9629629629629629,0,0,35.969,817.922392907
"night, four blasts",off,303,19,19,59.5,276.6,24.02,833.4,6973.3,0,0,0,2170,77,1,40.7,98.7,130.6,29.0,44.1,123.0,2254.7,7454.1,2999.5,0,0,0,0,0,189,0.8941798941798942,0,9,35.473,557.5445508,189,0.6402116402116402,2,9,49.546,465.583525762,272,0.9632352941176471,0,5,32.055,1734.143,272,0.8676470588235294,1,5,43.282,1727.533,189,0.6984126984126984,0,49,35.473,505.899999999,189,0.48148148148148145,2,49,49.546,495.5,87,0.896551724137931,0,5,35.56,612.119990759
"night, four blasts",off,404,7,7,56.0,271.8,24.05,734.2,6404.0,0,0,0,2067,105,1,49.3,147.8,285.3,29.8,45.9,124.5,1626.3,6127.3,2699.6,0,0,0,0,0,126,0.9444444444444444,0,1,36.653,774.605494216,126,0.7301587301587301,0,1,48.031,726.473724192,314,0.9840764331210191,0,4,35.104,1734.896,314,0.89171974522293,0,4,42.237,1727.837,126,0.7936507936507936,0,22,36.653,700.4,126,0.6111111111111112,0,22,48.031,700.4,82,0.9390243902439024,0,1,35.104,654.786136922
"night, four blasts",decay,101,345,2704,63.3,274.3,24.02,645.1,5418.4,10540,7,15,2166,72,2,37.9,64.4,95.0,73.1,36.8,72.8,233.7,574.3,1714.3,11,0,1694,0,411,260,0.9346153846153846,0,9,32.454,642.327673541,260,0.8,2,9,45.071,622.195991547,283,0.9681978798586572,0,6,37.282,1727.728,283,0.9434628975265018,0,6,42.333,1724.954,260,0.6923076923076923,0,68,32.454,693.3,260,0.5846153846153846,2,68,45.071,670.8,92,0.9565217391304348,0,1,30.811,642.327673541
"night, four blasts",decay,202,507,3488,65.2,275.0,24.0,1056.0,7919.7,11022,1,28,2230,96,0,36.5,69.9,145.0,,38.5,80.0,740.7,7713.8,2611.1,12,0,1693,0,453,127,0.9606299212598425,0,1,34.14,753.207914244,127,0.7244094488188977,0,1,42.865,786.160034681,325,0.9907692307692307,0,2,31.765,1736.123,325,0.9476923076923077,0,2,36.846,1731.779,127,0.84251968503937,0,10,34.14,764,127,0.6299212598425197,0,10,42.865,788.6,54,0.9444444444444444,0,0,35.608,836.820138144
"night, four blasts",decay,303,719,3256,56.2,274.9,24.02,1232.3,9329.2,10946,10,60,2170,77,1,36.7,83.7,94.0,29.0,37.7,74.6,632.6,5350.9,3007.4,9,0,1622,0,479,189,0.8994708994708994,0,9,33.687,539.444921856,189,0.7037037037037037,2,9,43.984,532.402221597,272,0.9669117647058824,0,5,29.518,1737.698,272,0.9007352941176471,1,5,34.594,1729.448,189,0.708994708994709,0,49,33.687,505.899999999,189,0.5555555555555556,2,49,43.984,547.9,87,0.9080459770114943,0,5,31.799,632.073698819
"night, four blasts",decay,404,483,3132,47.0,272.1,24.06,1506.7,11357.5,10126,0,56,2067,105,1,40.5,78.1,240.3,29.8,38.9,78.9,1356.0,9956.6,3687.7,17,0,1527,0,452,126,0.9365079365079365,0,1,31.403,753.26216475,126,0.8015873015873016,0,1,42.866,748.814493992,314,0.9840764331210191,0,4,33.126,1735.276,314,0.8853503184713376,0,4,40.181,1730.033,126,0.7936507936507936,0,22,31.403,700.4,126,0.6507936507936508,0,22,42.866,735.4,82,0.926829268292683,0,1,32.674,660.851856921
"night, four blasts","decay, oracle",101,739,9810,52.3,270.7,24.02,1633.5,5980.6,23346,0,69,2166,72,2,33.7,57.8,128.5,43.1,520.4,4894.9,100.0,157.6,2647.7,0,0,2062,0,32,260,0.9423076923076923,0,9,30.071,568.69264294,260,0.9,2,9,41.99,476.297305203,283,0.9717314487632509,0,6,32.692,1735.336,283,0.9611307420494699,0,6,36.57,1727.667,260,0.6884615384615385,0,68,30.071,613.1,260,0.65,2,68,41.99,561.1,92,0.9565217391304348,0,1,29.46,586.051600362
"night, four blasts","decay, oracle",202,774,13965,47.7,271.4,24.01,3160.9,8915.9,24854,0,97,2230,96,0,30.3,50.9,57.1,,902.4,7880.4,99.2,160.0,4800.9,0,0,2119,0,15,127,0.937007874015748,0,1,33.023,635.662662911,127,0.8818897637795275,0,1,41.824,566.989957774,325,0.9938461538461538,0,2,29.578,1739.323,325,0.9907692307692307,0,2,35.101,1730.087,127,0.84251968503937,0,10,33.023,633.8,127,0.7874015748031497,0,10,41.824,520.6,54,0.9444444444444444,0,0,35.494,585.280988543
