areas,mix,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
2 faces,mostly blasting,off,101,799,799,84.1,239.6,24.01,3283.7,20736.0,0,75,0,2138,80,0,43.6,107.8,141.2,,62.0,233.6,11465.9,20889.5,12160.8,0,0,0,0,0,465,0.9161290322580645,0,9,35.453,615.70534247,465,0.5978494623655914,13,9,44.865,627.947210076,429,0.9417249417249417,0,12,39.321,1723.685,429,0.6853146853146853,6,12,46.872,1723.685,465,0.6537634408602151,0,150,35.453,591.4,465,0.4064516129032258,13,150,44.865,649.9,88,0.8977272727272727,0,0,42.192,628.429198948
2 faces,mostly blasting,off,202,3041,3041,90.5,240.6,24.0,4298.3,24789.2,0,146,0,2218,80,0,44.4,102.4,162.9,,73.1,331.9,13370.2,24784.0,15646.5,0,0,0,0,0,81,0.9506172839506173,0,1,38.867,787.56130907,81,0.654320987654321,0,1,44.356,787.56130907,454,1,0,0,37.507,1732.493,454,0.8237885462555066,0,0,40.324,1731.488,81,0.8888888888888888,0,8,38.867,679.9,81,0.6172839506172839,0,8,44.356,644,30,0.9666666666666667,0,0,39.29,873.80963521
2 faces,mostly blasting,off,303,3156,3156,93.0,240.4,24.02,3838.2,22079.0,0,161,0,2233,80,0,44.6,93.6,147.2,,79.6,352.1,12339.5,22409.5,13867.4,0,0,0,0,0,334,0.9191616766467066,0,10,36.798,553.663633634,334,0.6017964071856288,10,10,61.175,573.228933501,501,0.9760479041916168,0,5,38.623,1725.391,501,0.8303393213572854,9,5,44.032,1725.391,334,0.7125748502994012,0,86,36.798,529.4,334,0.4820359281437126,10,86,61.175,538.8,63,0.873015873015873,0,3,33.168,908.694164113
2 faces,mostly blasting,off,404,98,98,89.2,237.4,24.05,2649.5,16134.5,0,53,0,2112,85,0,45.7,107.9,225.4,,63.9,194.1,9633.4,17115.4,9789.6,0,0,0,0,0,220,0.9045454545454545,0,8,36.486,716.820472274,220,0.5409090909090909,0,8,111.682,811.5416279,485,0.977319587628866,0,8,37.349,1732.651,485,0.7072164948453609,0,8,48.776,1732.152,220,0.6772727272727272,0,68,36.486,790.3,220,0.43636363636363634,0,68,111.682,790.3,168,0.875,0,8,37.704,689.94769949
2 faces,mostly blasting,decay,101,1185,3424,88.4,239.2,24.01,2817.9,19983.3,11144,28,56,2138,80,0,38.6,65.0,117.6,,40.0,87.4,2349.3,10677.0,7556.0,15,0,1674,0,399,465,0.9225806451612903,0,9,36.529,627.947210076,465,0.6645161290322581,13,9,44.661,600.72389981,429,0.9440559440559441,0,12,38.028,1727.941,429,0.8251748251748252,2,12,41.605,1722.293,465,0.6580645161290323,0,150,36.529,611.3,465,0.45376344086021503,13,150,44.661,638.4,88,0.9090909090909091,0,0,37.807,655.406395978
2 faces,mostly blasting,decay,202,1697,4552,90.9,242.1,24.0,4194.5,26027.3,12168,41,129,2218,80,0,38.0,75.5,162.9,,41.5,88.5,2910.3,13230.3,10705.0,15,0,1789,0,364,81,0.9506172839506173,0,1,37.544,787.56130907,81,0.7654320987654321,0,1,40.082,787.56130907,454,1,0,0,32.59,1737.335,454,0.8876651982378855,0,0,37.268,1734.155,81,0.9012345679012346,0,8,37.544,697.3,81,0.7037037037037037,0,8,40.082,704,30,0.9666666666666667,0,0,38.157,873.80963521
2 faces,mostly blasting,decay,303,1285,4515,97.5,239.6,24.02,3202.7,19678.0,12769,74,67,2233,80,0,37.4,62.3,114.5,,42.0,93.7,2301.5,16632.1,7829.0,17,0,1847,0,323,334,0.9221556886227545,0,10,34.331,546.712122808,334,0.6856287425149701,10,10,44.355,597.089370226,501,0.9740518962075848,0,5,34.331,1726.918,501,0.8662674650698603,0,5,40.01,1726.918,334,0.7065868263473054,0,86,34.331,534.8,334,0.5269461077844312,10,86,44.355,576.5,63,0.9047619047619048,0,3,31.905,885.193645328
2 faces,mostly blasting,decay,404,816,3594,93.2,236.9,24.05,2245.2,14473.4,11085,27,26,2112,85,0,35.3,61.7,147.2,,39.9,78.6,1335.6,8875.1,5652.7,19,0,1667,0,378,220,0.9,0,8,30.806,716.820472274,220,0.6772727272727272,0,8,42.964,793.733804823,485,0.977319587628866,0,8,33.439,1734.487,485,0.8412371134020619,0,8,39.231,1732.491,220,0.6772727272727272,0,68,30.806,796.2,220,0.55,0,68,42.964,763,168,0.8988095238095238,0,8,29.97,684.674606647
2 faces,balanced,off,101,45,45,62.8,275.0,24.02,781.8,7205.8,0,11,0,2166,90,2,48.7,120.3,173.7,73.1,45.0,121.2,2028.2,7811.2,2868.6,0,0,0,0,0,364,0.9423076923076923,0,8,37.593,538.69264294,364,0.6923076923076923,2,8,51.101,612.017163456,532,0.9642857142857143,0,9,38.585,1726.66,532,0.8909774436090225,0,9,42.588,1718.899,364,0.6538461538461539,0,112,37.593,562.6,364,0.5082417582417582,2,112,51.101,585.8,91,0.9560439560439561,0,1,34.664,630.454645536
2 faces,balanced,off,202,62,62,65.6,274.8,24.0,1287.2,9347.9,0,5,0,2230,109,0,44.1,111.4,192.4,,47.7,131.3,4092.0,10725.7,4639.8,0,0,0,0,0,121,0.9669421487603306,0,0,35.494,883.730632761,121,0.7520661157024794,0,0,39.935,832.653405522,631,0.9952456418383518,0,2,33.023,1736.977,631,0.9001584786053882,0,2,43.542,1727.772,121,0.859504132231405,0,5,35.494,869,121,0.6611570247933884,0,5,39.935,845.4,52,0.9423076923076923,0,0,38.323,821.873642578
2 faces,balanced,off,303,19,19,59.5,276.6,24.02,833.4,6973.3,0,0,0,2170,81,1,40.4,98.7,130.6,29.0,44.1,123.0,2079.4,7329.8,2999.5,0,0,0,0,0,358,0.9385474860335196,0,7,31.485,518.606982268,358,0.6759776536312849,2,7,45.578,454.027381801,402,0.9626865671641791,0,8,29.922,1737.675,402,0.8308457711442786,0,8,42.176,1726.538,358,0.6731843575418994,0,105,31.485,520.2,358,0.48044692737430167,2,105,45.578,454.5,83,0.9518072289156626,0,3,30.532,694.99925098
2 faces,balanced,off,404,7,7,56.0,271.8,24.05,734.2,6404.0,0,0,0,2067,99,1,48.4,147.8,285.3,29.8,45.9,124.5,1763.9,6348.4,2699.6,0,0,0,0,0,185,0.9459459459459459,0,1,37.412,686.717196956,185,0.6918918918918919,0,1,44.832,677.792628612,600,0.99,0,4,35.104,1734.507,600,0.9066666666666666,0,4,39.975,1732.484,185,0.7297297297297297,0,44,37.412,660.099999999,185,0.5297297297297298,0,44,44.832,660.099999999,110,0.9545454545454546,0,1,36.996,635.830895834
2 faces,balanced,decay,101,474,2755,63.4,274.2,24.02,649.9,5621.5,10195,19,24,2166,90,2,39.7,68.7,158.7,73.1,37.1,74.8,273.6,666.8,1715.3,13,0,1622,0,467,364,0.945054945054945,0,8,36.58,542.99965635,364,0.8021978021978022,1,8,49.474,576.276606017,532,0.9718045112781954,0,9,38.374,1727.667,532,0.9379699248120301,0,9,40.598,1725.434,364,0.6538461538461539,0,112,36.58,574.9,364,0.5604395604395604,1,112,49.474,574.9,91,0.9560439560439561,0,1,32.236,641.550430299
2 faces,balanced,decay,202,685,3653,59.6,275.6,24.0,1609.9,12584.6,11165,1,57,2230,109,0,39.1,88.3,160.0,,39.1,82.6,815.1,4057.7,3942.3,17,0,1672,0,466,121,0.9669421487603306,0,0,30.894,883.085309012,121,0.768595041322314,0,0,38.323,773.134028919,631,0.9952456418383518,0,2,32.21,1737.79,631,0.9270998415213946,0,2,40.751,1731.779,121,0.859504132231405,0,5,30.894,914,121,0.6611570247933884,0,5,38.323,764,52,0.9423076923076923,0,0,35.494,821.873642578
2 faces,balanced,decay,303,624,3307,56.0,275.4,24.02,1267.7,9221.7,10821,14,29,2170,81,1,34.8,75.3,85.6,29.0,37.2,73.7,996.3,6535.0,3185.0,16,0,1669,0,435,358,0.9441340782122905,0,7,30.907,518.606982268,358,0.7150837988826816,2,7,40.608,454.027381801,402,0.9651741293532339,0,8,29.629,1739.982,402,0.835820895522388,0,8,40.254,1727.824,358,0.6815642458100558,0,105,30.907,505.899999999,358,0.5027932960893855,2,105,40.608,455.5,83,0.9518072289156626,0,3,30.532,694.99925098
