jitter,day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,moderate.covered_share,moderate.false_share,moderate.mean_closed_share,moderate.peak_closed_share,moderate.complete_p50_s,moderate.complete_p95_s,moderate.never_complete,moderate wide.covered_share,moderate wide.false_share,moderate wide.mean_closed_share,moderate wide.peak_closed_share,moderate wide.complete_p50_s,moderate wide.complete_p95_s,moderate wide.never_complete,high.covered_share,high.false_share,high.mean_closed_share,high.peak_closed_share,high.complete_p50_s,high.complete_p95_s,high.never_complete,high wide.covered_share,high wide.false_share,high wide.mean_closed_share,high wide.peak_closed_share,high wide.complete_p50_s,high wide.complete_p95_s,high wide.never_complete
jitter 5 ms,workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0,0.8869023883857795,0.6411373616198894,0.25223700532566745,0.5999573023974674,35.024,971.578,107,0.9942081525545644,0.8799629684362086,0.8453241878836052,0.9906114972961314,0,40.802,1,0.7344603121126734,0.9950899680864169,0.049497114399683684,0.09710379513540554,40.802,1057.458,3,0.9484908678186887,0.9995525078065768,0.7013641341454717,0.9156557993188156,0,1113.56,0
jitter 5 ms,workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0,0.9075670472122396,0.6432257471091068,0.23579977363228688,0.5040310371573014,36.542,1114.498,68,0.9964492141332507,0.8907420015081662,0.8453958257079065,0.9952714928897742,0,41.619,0,0.7076365468768957,0.9965125436331171,0.05036289557061216,0.08219139437901585,39.397,947.797,2,0.9711840415476297,0.9996532951214876,0.695265699759071,0.8888499194589079,0,67.302,0
jitter 5 ms,workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0,0.8891278684998561,0.6058171541888364,0.272449488740256,0.7462856860562,32.847,936.765,113,0.9921026414606084,0.8592509455411717,0.8513940582617636,0.9912874995187727,0,42.123,2,0.6204504800092289,0.9970642030692357,0.049050274806288784,0.108585674699973,43.797,352.93,5,0.9982262882423009,0.9996647348637625,0.691036426399599,0.9163813185337695,0,53.604,0
jitter 5 ms,workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0,0.8749045800118531,0.6727782348482895,0.23146110817088386,0.5142219440604399,32.648,670.972,108,0.9948806855471529,0.897177993827439,0.837615002835476,0.9884779392461592,0,42.235,0,0.6773781613905883,0.9963430682393547,0.05040478534137301,0.11763624432839857,47.86,772.42,4,0.9867158358012041,0.9996104434404902,0.6892535500868249,0.8978009757554756,0,123.807,0
jitter 5 ms,workday,decay,101,1387,4133,45.9,279.4,24.06,1035.3,7929.5,11926,0,84,2242,58,0,41.6,106.7,157.6,,40.8,90.7,485.4,2290.5,2308.2,10,0,1599,0,595,0.9003328290438697,0.6276084471993867,0.24675416284708898,0.5471676295910466,36.541,831.849,79,0.994606516104999,0.879316861063013,0.8411354281177212,0.9993236482800393,0,39.256,1,0.820577040641695,0.9947137000260099,0.05136454208349895,0.09560276616164606,40.802,1132.44,2,0.9536218686321847,0.9995451390717894,0.6937347216290902,0.9135990642434801,0,1113.56,0
jitter 5 ms,workday,decay,202,1263,3551,40.9,278.7,24.0,797.1,5338.2,11149,0,96,2165,54,0,37.5,75.0,99.5,,40.4,90.3,677.2,4367.5,1821.0,4,0,1548,0,567,0.9326186555824174,0.6336030653360056,0.23594481471600134,0.5319316413610874,36.884,785.313,61,0.9970255600327448,0.8900941682012037,0.8408987853488922,0.991988291396543,0,40.076,0,0.8959256518287844,0.9958059672991358,0.053021178754485504,0.0871220583603363,39.397,388.976,1,0.9974689551847665,0.9996395225184668,0.6868002857805334,0.8838822896394296,0,67.302,0
jitter 5 ms,workday,decay,303,1535,3833,45.5,278.4,24.01,1599.7,15950.9,11674,0,117,2206,70,0,36.0,58.9,97.7,,40.5,91.2,1744.7,17132.0,3493.1,12,0,1580,0,568,0.9242094595563918,0.5894901745703511,0.2719357764604053,0.8221482655163909,33.424,833.952,64,0.9958202881600374,0.8589908049077245,0.8530078571248954,0.9952609708967212,0,37.356,1,0.9510590755135314,0.9957686012088902,0.05216555936719595,0.10127373069037887,41.835,638.604,0,0.9977299507233566,0.9996655840372508,0.6924466874366206,0.9246073026926014,0,68.604,0
jitter 5 ms,workday,decay,404,1555,3672,47.7,277.9,24.0,1129.3,8449.3,11550,0,131,2212,55,0,37.4,83.1,94.2,,41.6,96.5,939.0,2120.7,2538.1,7,0,1586,0,578,0.9116613164111641,0.6606311521189122,0.2325525329943525,0.45326835697113976,34.245,774.829,71,0.9961329238582552,0.8972291554709174,0.8390868021613694,0.9872256242173758,0,38.965,0,0.7966479767029614,0.9958552157776619,0.05230244198063597,0.10311512382414766,67.42,521.446,2,0.9904047781509813,0.9996093991590332,0.6899807714943105,0.8906128905290499,0,93.807,0
jitter 5 ms,earthquake,off,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0,0.92366873521836,0.4556323780941552,0.32739548033637156,1.0000000000000133,0,319.375,114,0.9954423455717035,0.7723562308504495,0.8437408302713955,0.9999999999999951,0,20.596,3,0.9752335489665207,0.7973281512762976,0.06947277482418238,0.7278663739360466,18.36,457.956,7,0.9975237063027395,0.979210574773008,0.6927558224983437,0.9783402675908419,0,29.937,0
jitter 5 ms,earthquake,off,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0,0.8097114626864345,0.4461242748849832,0.3042570178671891,0.9999999999999998,0,420.25,156,0.9878497598732052,0.7565578404758619,0.844535199258982,0.9999999999999902,0,20.949,1,0.6360298845189714,0.8850006901303852,0.06073717822971657,0.6217619458097986,0,763.584,6,0.9644610377749464,0.9844770060934405,0.6823096666554913,0.9414476955213021,0,47.455,0
