cloud cap,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
cloud 0,off,101,9799,9799,0.0,68.5,14.51,20587.5,45537.8,0,1121,0,688,11,0,2841.2,6515.5,6515.5,,2606.8,6642.1,37845.7,45575.0,38064.9,0,0,0,0,0
cloud 0,off,202,10456,10456,0.0,72.0,14.68,21382.2,46167.3,0,1193,0,708,44,1,2493.6,6785.8,6974.3,29.0,3064.2,6880.0,33349.0,46249.0,38780.7,0,0,0,0,0
cloud 0,off,303,9843,9843,0.0,68.4,14.49,20553.2,45540.0,0,1112,0,685,9,0,2867.5,6702.3,6702.3,,3033.7,6683.3,39694.2,45646.1,37874.1,0,0,0,0,0
cloud 0,off,404,10174,10174,0.0,70.5,14.63,21063.8,45899.1,0,1163,0,701,43,0,3904.8,6584.1,44074.5,,2648.4,6475.9,43574.6,45930.0,38928.7,0,0,0,0,0
cloud 0,off,505,10566,10566,0.0,71.5,14.65,21179.6,46244.5,0,1188,0,721,6,0,3620.0,6866.3,6866.3,,3215.4,7074.1,36332.5,46136.3,38814.6,0,0,0,0,0
cloud 0,off,606,10159,10159,0.0,69.4,14.5,20346.6,45347.8,0,1141,0,690,16,1,1926.8,6731.6,6731.6,44.9,3010.5,6710.4,29019.6,45371.8,38053.1,0,0,0,0,0
cloud 0,"decay, final",101,8328,10150,0.0,68.5,26.45,42083.3,88027.4,7759,866,0,688,11,0,2208.5,5075.5,5075.5,,2038.1,5093.1,26183.9,87859.6,63121.7,3,0,660,0,20
cloud 0,"decay, final",202,8859,10592,0.0,71.9,26.5,42063.7,88580.8,6841,941,0,708,44,1,2064.8,5429.3,5596.9,44.0,2410.7,5577.1,25607.3,88253.2,62266.5,9,0,561,0,112
cloud 0,"decay, final",303,8401,10150,0.0,68.4,26.42,42142.4,88000.9,7667,858,0,685,9,0,2459.2,4894.9,4894.9,,2138.7,5344.7,16149.2,87139.9,62718.6,1,0,651,0,26
cloud 0,"decay, final",404,8449,10267,0.0,70.5,26.42,41233.2,88075.3,6892,907,0,701,43,0,2409.0,5148.4,7054.5,,2067.6,5261.3,27650.1,87999.9,61006.4,8,0,577,0,89
cloud 0,"decay, final",505,9153,10873,0.0,71.5,26.58,43302.4,88864.3,8051,934,0,721,6,0,2712.5,5172.6,5172.6,,2396.9,5428.7,6647.5,7152.6,64397.5,0,0,688,0,27
cloud 0,"decay, final",606,8725,10386,0.0,69.4,26.52,42239.0,88323.0,7498,885,0,690,16,1,1631.4,5279.8,5279.8,29.9,2157.2,5413.4,29810.8,88361.8,62556.5,6,0,632,0,48
cloud 0,"decay, restored exempt",101,6419,7456,0.0,68.4,17.43,17075.7,50096.2,7786,731,215,688,11,0,2338.0,5150.5,5150.5,,2097.5,5137.2,10337.1,35105.5,27370.9,4,0,662,0,19
cloud 0,"decay, restored exempt",202,6447,8085,0.0,71.9,17.92,19662.6,53610.2,6804,776,163,708,44,1,2306.8,6020.8,6239.3,44.0,2694.8,6140.0,22898.7,48514.2,31855.0,8,0,554,0,118
cloud 0,"decay, restored exempt",303,6223,7422,0.0,68.3,18.58,16636.8,54149.0,7677,721,223,685,9,0,2564.2,5359.9,5359.9,,2260.9,5701.6,9645.9,21109.9,26933.2,1,0,650,0,27
cloud 0,"decay, restored exempt",404,6141,7853,0.0,70.5,19.75,18913.3,58333.4,6896,752,183,701,43,0,2619.3,5373.4,9574.5,,2179.9,5451.0,23311.0,54761.6,30858.4,8,0,579,0,87
cloud 0,"decay, restored exempt",505,7079,7990,0.0,71.4,16.46,16764.7,51378.7,8109,802,236,721,6,0,2972.5,5112.6,5112.6,,2496.0,5578.9,9317.5,10412.5,28128.6,0,0,693,0,22
cloud 0,"decay, restored exempt",606,6776,7803,0.0,69.3,19.35,17166.9,54908.5,7435,758,227,690,16,1,1682.1,5426.6,5426.6,44.9,2255.5,5575.5,15730.5,58797.2,28254.5,5,0,627,0,52
cloud 0,"both, exempt",101,7253,6180,0.0,68.9,15.06,13565.5,39564.4,7882,792,205,688,11,0,3068.9,6500.5,6500.5,,2805.0,6555.4,8545.3,25791.0,19977.6,4,6,645,162,36
cloud 0,"both, exempt",202,9355,6092,0.0,72.2,12.77,10293.0,28979.4,8332,1023,67,708,44,1,4691.1,10941.5,11309.3,44.0,5521.1,10932.8,9120.2,20518.4,13180.2,11,31,444,367,231
cloud 0,"both, exempt",303,7633,6317,0.0,68.2,16.08,12540.0,41446.7,7788,835,232,685,9,0,3687.5,6899.7,6899.7,,3191.2,7291.6,8604.2,20899.9,18457.5,1,3,635,202,42
cloud 0,"both, exempt",404,8188,6504,0.0,70.6,16.9,12257.2,44028.7,7688,920,196,701,43,0,4661.1,8448.4,12859.5,,3837.9,8520.9,10833.1,22515.0,17670.9,7,26,520,255,145
cloud 0,"both, exempt",505,8356,6647,0.0,71.4,15.03,12747.3,39849.1,8325,923,218,721,6,0,4465.0,7616.3,7616.3,,3849.0,8327.9,7425.0,10534.0,18490.1,0,4,659,250,56
cloud 0,"both, exempt",606,8020,6427,0.0,69.8,15.3,12091.6,40983.9,7807,899,196,690,16,1,2714.3,7466.6,7466.6,74.9,3376.0,7494.1,12479.3,44472.2,17772.1,7,6,613,219,68
cloud 20,off,101,5173,5173,36.2,36.6,14.0,15139.5,43305.7,0,273,0,688,11,0,408.5,1730.5,1730.5,,504.3,1694.0,35122.5,43371.4,29804.6,0,0,0,0,0
cloud 20,off,202,6034,6034,39.6,36.3,13.87,16356.5,43406.1,0,313,0,708,44,1,497.6,1694.3,1831.9,29.0,754.6,1816.5,24884.5,43409.9,31826.6,0,0,0,0,0
cloud 20,off,303,5214,5214,36.0,36.3,14.02,15361.0,43326.2,0,278,0,685,9,0,547.5,1489.9,1489.9,,817.3,1737.4,33492.5,43354.9,30142.0,0,0,0,0,0
cloud 20,off,404,4990,4990,37.2,37.3,13.93,14883.6,43278.6,0,280,0,701,43,0,1056.2,1533.4,29914.5,,549.0,1590.9,39704.2,43371.7,29298.7,0,0,0,0,0
cloud 20,off,505,6221,6221,39.0,37.2,13.65,16065.1,43410.8,0,315,0,721,6,0,487.5,1392.6,1392.6,,868.4,1881.4,30130.0,43352.5,31482.6,0,0,0,0,0
cloud 20,off,606,4965,4965,37.8,36.5,14.02,15290.3,43275.9,0,270,0,690,16,1,364.9,1586.6,1586.6,44.9,871.0,1669.1,23408.6,43376.6,30722.9,0,0,0,0,0
cloud 20,"decay, final",101,3591,7239,26.2,46.7,25.89,28747.4,86293.0,6934,160,0,688,11,0,333.5,1303.8,1303.8,,353.9,1296.2,25063.0,86194.6,48049.6,4,0,654,0,26
cloud 20,"decay, final",202,4095,8009,30.4,45.5,25.59,31410.1,86344.9,6049,189,0,708,44,1,371.8,1396.9,1418.7,29.0,416.9,1394.7,15479.5,86228.2,50820.5,9,0,539,0,134
cloud 20,"decay, final",303,3601,7242,26.2,46.1,25.74,29729.9,86299.8,6815,155,0,685,9,0,355.9,1274.7,1274.7,,371.2,1360.4,1072.5,2003.8,48368.6,0,0,642,0,34
cloud 20,"decay, final",404,3463,7009,27.2,47.3,25.98,27334.5,86106.6,5758,183,0,701,43,0,288.1,1199.5,2929.5,,350.7,1339.8,14914.8,80262.8,44582.9,7,0,539,0,126
cloud 20,"decay, final",505,4497,8055,28.9,47.4,25.95,32342.0,86499.4,7149,188,0,721,6,0,312.5,1392.6,1392.6,,419.2,1407.6,1230.0,2292.6,53277.6,0,0,670,0,45
cloud 20,"decay, final",606,3715,7322,27.0,47.3,25.74,29956.1,86383.4,6660,166,0,690,16,1,315.2,1349.8,1349.8,44.9,343.1,1338.4,7278.9,86202.2,49423.5,4,0,615,0,63
cloud 20,"decay, restored exempt",101,4652,5784,19.4,53.3,16.88,14547.6,49022.5,7303,127,248,688,11,0,334.8,1303.8,1303.8,,356.8,1296.2,5407.5,37235.5,24701.9,4,0,660,0,21
cloud 20,"decay, restored exempt",202,4377,6016,27.8,47.9,15.6,14413.6,47460.5,6107,186,138,708,44,1,417.8,1465.3,1576.9,29.0,531.7,1534.1,15523.9,47419.2,24412.5,8,0,542,0,130
cloud 20,"decay, restored exempt",303,3813,4646,26.2,46.0,15.93,9533.4,45110.0,6708,150,138,685,9,0,387.5,1274.7,1274.7,,391.7,1432.9,1365.9,2159.7,17350.2,0,0,646,0,30
cloud 20,"decay, restored exempt",404,3642,5070,21.7,52.6,17.5,12370.4,49418.4,5917,161,136,701,43,0,366.9,1199.5,5359.5,,375.8,1363.0,12291.9,17967.4,21506.1,6,0,549,0,115
cloud 20,"decay, restored exempt",505,4944,5889,21.7,54.5,16.52,12698.6,49766.7,7552,174,214,721,6,0,365.0,1392.6,1392.6,,496.1,1559.5,2900.0,3827.5,22790.4,0,0,686,0,29
cloud 20,"decay, restored exempt",606,4366,5610,24.0,50.2,17.64,13119.6,51621.0,6949,158,202,690,16,1,326.4,1349.8,1349.8,44.9,384.3,1348.0,11196.8,52902.2,23590.3,5,0,629,0,50
cloud 20,"both, exempt",101,5256,4404,26.4,46.3,14.44,8737.5,35331.6,7075,176,161,688,11,0,513.5,1708.8,1708.8,,539.9,1712.4,3514.8,23945.5,14912.4,3,5,640,146,40
cloud 20,"both, exempt",202,8155,5292,32.0,43.7,12.21,5689.3,27655.7,7867,304,152,708,44,1,1026.4,3151.9,3160.3,29.0,1124.0,3153.2,4953.3,27790.7,8222.1,9,26,421,328,252
cloud 20,"both, exempt",303,5885,4416,32.1,40.1,9.59,4969.0,20719.7,7068,200,144,685,9,0,534.2,1769.7,1769.7,,558.8,1905.9,3287.5,17914.9,8100.1,1,2,638,184,39
cloud 20,"both, exempt",404,6408,4503,33.4,41.4,7.21,3830.3,15513.9,7188,262,119,701,43,0,626.4,1848.4,4234.5,,611.4,2085.3,2585.1,7001.6,5946.2,7,27,517,237,148
cloud 20,"both, exempt",505,6963,4983,26.3,49.9,12.9,7835.5,34221.1,7887,238,229,721,6,0,805.0,2247.6,2247.6,,774.8,2302.8,2217.5,3619.0,12282.0,0,1,655,244,60
cloud 20,"both, exempt",606,5827,4458,29.8,44.4,12.45,6222.1,29380.5,7155,205,187,690,16,1,423.9,1574.8,1574.8,44.9,472.3,1605.7,3307.7,32217.2,10046.1,3,9,609,191,68
cloud 60,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
cloud 60,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
cloud 60,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
