notice,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,encounter.decisions,encounter.in_time_share,encounter.never,encounter.unwinnable,encounter.latency_p50_s,encounter.slack_p50_s,encounter warned.decisions,encounter warned.in_time_share,encounter warned.never,encounter warned.unwinnable,encounter warned.latency_p50_s,encounter warned.slack_p50_s,encounter reroute.decisions,encounter reroute.in_time_share,encounter reroute.never,encounter reroute.unwinnable,encounter reroute.latency_p50_s,encounter reroute.slack_p50_s,the day's own.decisions,the day's own.in_time_share,the day's own.never,the day's own.unwinnable,the day's own.latency_p50_s,the day's own.slack_p50_s
30 s,off,101,26,26,55.9,279.4,24.05,626.4,4474.1,0,0,0,2282,98,10,52.4,157.6,248.6,53.1,48.8,137.8,1960.5,5591.2,2253.3,0,0,0,0,0,40,0,0,0,42.235,,40,0,0,0,58.203,,40,0,0,40,42.235,,753,0.9428950863213812,0,14,36.168,745.807253466
30 s,off,202,13,13,52.3,278.6,24.0,389.0,2501.1,0,2,0,2205,94,10,48.6,130.5,175.4,68.5,47.5,136.9,1243.7,3010.8,1343.2,0,0,0,0,0,40,0,0,0,38.578,,40,0,0,0,58.544,,40,0,0,40,38.578,,696,0.9497126436781609,0,14,35.429,764.033124391
30 s,off,303,9,9,54.1,277.9,24.01,1213.7,8695.2,0,0,0,2246,110,4,47.2,134.2,198.7,96.7,47.8,144.2,4545.9,9317.8,4361.9,0,0,0,0,0,40,0,0,0,37.185,,40,0,2,0,42.364,,40,0,0,40,37.185,,751,0.9227696404793608,0,21,36.818,724.584160936
30 s,off,404,10,10,60.2,278.6,24.0,522.1,3734.3,0,0,0,2252,95,7,49.8,137.5,214.2,73.3,50.5,139.8,1874.0,4608.6,1842.3,0,0,0,0,0,40,0,0,0,38.179,,40,0,0,0,55.71,,40,0,0,40,38.179,,741,0.9203778677462888,0,26,38.131,792.719532906
30 s,decay,101,1491,4253,49.0,280.5,24.06,1125.8,9127.5,12019,0,95,2282,98,10,45.6,113.9,204.1,45.6,41.4,91.3,394.2,927.2,2504.5,10,0,1604,0,590,40,0,0,0,38.958,,40,0,0,0,55.827,,40,0,0,40,38.958,,753,0.9455511288180611,0,14,35.539,759.783189567
30 s,decay,202,1248,3502,43.2,280.0,24.0,903.2,6061.3,11093,0,93,2205,94,10,40.3,95.7,160.4,56.5,41.1,92.2,519.2,820.8,2082.9,4,0,1546,0,569,40,0,0,0,36.505,,40,0,0,0,44.004,,40,0,0,40,36.505,,696,0.9525862068965517,0,14,35.176,764.033124391
30 s,decay,303,1563,3974,47.9,280.8,24.14,1741.1,16052.2,11775,0,136,2246,110,4,39.8,98.2,138.7,70.4,40.9,97.5,1499.6,17402.0,3780.5,12,0,1578,0,570,40,0,0,0,32.761,,40,0,2,0,39.612,,40,0,0,40,32.761,,751,0.9254327563249002,0,21,35.374,729.207489039
30 s,decay,404,1607,3774,49.9,279.0,24.0,1264.6,9174.7,11747,0,120,2252,95,7,40.0,83.6,113.1,43.3,41.5,95.1,766.3,1771.1,2840.8,7,0,1587,0,577,40,0,0,0,34.783,,40,0,0,0,40.347,,40,0,0,40,34.783,,741,0.9271255060728745,0,26,35.475,796.383519525
30 s,"decay, oracle",101,2647,13273,40.1,285.2,24.51,2015.9,8330.9,25722,0,227,2282,98,10,35.0,59.9,91.7,35.1,723.2,5966.9,117.3,291.2,2966.9,0,0,2094,0,90,40,0,0,0,32.448,,40,0,0,0,38.753,,40,0,0,40,32.448,,753,0.949535192563081,0,14,30.908,661.971230971
30 s,"decay, oracle",202,2430,11912,33.5,283.1,24.22,1840.8,7731.8,24827,0,209,2205,94,10,32.8,61.6,178.8,44.5,637.9,5754.1,114.5,291.5,2754.1,0,0,2022,0,89,40,0,0,0,28.768,,40,0,0,0,35.951,,40,0,0,40,28.768,,696,0.9540229885057471,0,14,30.894,645.173592148
