day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0
workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,decay,101,1777,4899,45.3,279.4,24.06,1112.5,7654.0,14018,0,129,2242,58,0,39.5,98.9,129.1,,39.4,83.0,607.7,2860.3,2508.0,15,0,1920,0,279
workday,decay,202,1284,3958,40.3,278.8,24.0,814.1,5824.9,12651,0,107,2165,54,0,35.8,75.0,85.0,,39.7,85.0,473.6,2612.5,1906.4,4,0,1810,0,305
workday,decay,303,1906,4390,44.4,279.6,24.01,1675.8,13475.0,13544,0,154,2206,70,0,34.9,57.9,67.7,,39.1,86.3,1676.2,15648.4,3810.1,11,0,1899,0,248
workday,decay,404,1912,4519,46.1,278.3,24.0,1273.2,9662.8,13699,0,168,2212,55,0,37.6,70.6,128.1,,40.3,88.6,1411.6,12663.6,2906.9,12,0,1909,0,259
workday,"decay, oracle",101,2509,13138,38.0,281.2,24.32,1827.1,7394.7,25699,0,222,2242,58,0,33.6,54.1,76.5,,656.9,5494.9,114.5,294.2,2699.4,0,0,2091,0,93
workday,"decay, oracle",202,2214,11815,31.5,280.5,24.11,1649.8,6878.8,24815,0,196,2165,54,0,30.8,54.5,75.0,,558.3,4959.1,117.2,318.7,2467.6,0,0,2021,0,90
workday,"decay, oracle",303,2949,12100,36.9,282.2,24.59,2365.9,9749.5,24810,0,283,2206,70,0,31.7,52.3,59.2,,823.2,7848.7,127.1,352.3,3518.0,0,0,2039,0,97
workday,"decay, oracle",404,2678,12204,38.0,278.2,24.0,2064.0,8701.5,25139,0,217,2212,55,0,31.9,70.4,109.2,,771.9,6770.8,112.6,244.2,3050.0,0,0,2059,0,98
rock burst,off,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
rock burst,off,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0
