intent,knowledge,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
off,estimate,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
off,estimate,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
off,estimate,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
off,estimate,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
off,estimate,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
off,estimate,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
decay,estimate,101,1309,1669,92.4,18.4,2.0,515.0,1932.4,4251,46,0,688,11,0,66.2,388.8,388.8,,72.6,377.7,446.6,2060.5,888.5,2,0,630,0,34
decay,estimate,202,1673,2003,88.5,17.3,2.01,568.1,2251.3,3224,59,0,708,44,1,94.3,434.4,460.3,29.0,91.2,435.3,749.2,1223.7,925.6,5,0,409,0,251
decay,estimate,303,1365,1768,72.6,19.5,2.17,518.2,1770.0,4616,73,0,685,9,0,65.9,359.7,359.7,,82.0,383.6,462.5,1594.9,883.3,1,0,624,0,48
decay,estimate,404,543,912,81.6,20.1,2.1,431.9,1790.9,3309,39,0,701,43,0,43.5,61.3,769.5,,61.7,339.7,273.1,761.8,736.4,4,0,467,0,184
decay,estimate,505,1436,1806,94.9,18.8,2.0,589.0,2264.5,4778,60,0,721,6,0,97.5,417.6,417.6,,76.7,390.7,317.5,784.0,966.8,0,0,653,0,55
decay,estimate,606,769,1300,85.4,19.8,2.05,434.0,1803.6,3687,41,0,690,16,1,67.7,374.8,374.8,29.9,55.9,328.8,421.1,1256.8,739.6,3,0,585,0,81
decay,truth,101,239,1218,88.3,18.2,2.0,605.1,2249.6,4723,29,0,688,11,0,32.1,148.8,148.8,,213.8,1735.3,127.5,350.5,989.6,0,0,666,0,11
decay,truth,202,115,1129,70.7,17.5,2.01,623.8,2308.6,4827,28,0,708,44,1,48.6,209.4,227.1,29.0,275.2,1957.8,399.4,659.1,969.7,0,0,576,0,88
decay,truth,303,348,1702,64.5,18.2,2.02,644.4,2120.9,5264,34,0,685,9,0,42.5,254.7,254.7,,413.4,2015.5,104.2,359.7,940.6,0,0,662,0,14
decay,truth,404,91,943,79.2,19.9,2.0,438.3,1893.4,4365,22,0,701,43,0,20.5,45.8,124.5,,174.4,1398.7,53.3,131.8,735.5,0,0,630,0,28
decay,truth,505,359,1755,51.5,20.5,2.37,964.0,3350.9,6135,50,0,721,6,0,47.5,177.6,177.6,,350.7,1928.3,167.5,357.6,1627.4,0,0,691,0,24
decay,truth,606,39,1079,76.7,19.8,2.1,484.7,1998.9,4484,18,0,690,16,1,39.6,149.8,149.8,29.9,182.4,1435.3,183.0,389.8,794.1,0,0,662,0,12
"decay, final",estimate,101,718,1650,61.0,28.8,10.98,3042.8,21089.3,4534,27,0,688,11,0,60.7,388.8,388.8,,63.5,357.3,2155.3,15469.6,5697.0,2,0,591,0,77
"decay, final",estimate,202,1600,2400,53.4,32.7,15.73,5849.2,38971.5,3778,43,0,708,44,1,96.0,434.4,460.3,29.0,94.5,435.3,936.7,2209.2,10689.6,4,0,421,0,243
"decay, final",estimate,303,995,1827,53.6,29.7,12.09,3666.2,25512.4,4507,31,0,685,9,0,64.2,359.7,359.7,,79.0,376.8,197.5,629.7,7133.5,0,0,615,0,57
"decay, final",estimate,404,421,957,61.3,29.8,10.73,2759.9,20296.0,3735,24,0,701,43,0,43.2,123.9,559.5,,61.6,331.4,1927.2,17568.9,5295.0,4,0,468,0,189
"decay, final",estimate,505,989,2094,60.3,32.6,15.14,5541.2,37102.5,4750,36,0,721,6,0,95.0,417.6,417.6,,76.6,388.1,270.0,717.6,10944.9,0,0,616,0,96
