intent,lookahead,uncertainty,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
off,lookahead 300s,±50 m,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
off,lookahead 300s,±50 m,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
off,lookahead 300s,±50 m,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
off,lookahead 300s,±50 m,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
off,lookahead 300s,±50 m,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
off,lookahead 300s,±50 m,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
"decay, restored exempt",lookahead 0s,±0 m,101,859,1685,60.8,28.9,8.38,2637.4,16135.9,4969,27,25,688,11,0,59.4,388.8,388.8,,63.5,357.3,2108.9,14389.6,5040.6,3,0,667,0,3
"decay, restored exempt",lookahead 0s,±0 m,202,1287,1961,52.9,33.2,11.7,3667.3,24855.2,5494,31,41,708,44,1,90.2,400.3,434.4,29.0,80.7,390.4,788.4,1979.9,7145.4,18,0,660,0,16
"decay, restored exempt",lookahead 0s,±0 m,303,1092,1822,53.6,29.7,7.14,2021.8,11750.5,4752,30,32,685,9,0,65.9,359.7,359.7,,78.4,376.8,199.2,629.7,3892.4,1,0,671,0,3
"decay, restored exempt",lookahead 0s,±0 m,404,432,1053,61.0,30.1,7.49,1938.8,12098.1,4683,24,30,701,43,0,33.4,78.9,344.5,,57.1,318.6,2550.3,9587.2,3709.1,21,0,654,0,21
"decay, restored exempt",lookahead 0s,±0 m,505,1072,1836,60.3,32.6,9.06,2946.2,18435.8,5079,35,29,721,6,0,97.5,417.6,417.6,,73.2,357.9,4265.0,24040.0,5993.5,1,0,708,0,4
"decay, restored exempt",lookahead 0s,±0 m,606,596,1387,62.4,29.7,9.26,2316.6,15149.5,4578,20,19,690,16,1,68.6,374.8,374.8,29.9,55.4,306.2,2297.1,15222.2,4632.3,7,0,663,0,9
"decay, restored exempt",lookahead 0s,±50 m,101,1280,1709,60.8,28.9,6.45,1696.0,8932.8,5431,27,58,688,11,0,62.1,388.8,388.8,,65.3,357.3,1402.5,7144.6,3073.2,3,0,658,0,13
"decay, restored exempt",lookahead 0s,±50 m,202,1757,2081,52.9,33.2,9.08,2686.0,16272.7,5582,40,58,708,44,1,95.3,415.3,437.1,29.0,93.0,419.6,1550.0,7405.3,4751.9,8,0,551,0,119
"decay, restored exempt",lookahead 0s,±50 m,303,1432,1823,53.6,29.7,5.6,1530.0,6422.5,5173,30,78,685,9,0,65.9,359.7,359.7,,80.4,381.4,922.5,6229.9,2980.7,1,0,648,0,28
"decay, restored exempt",lookahead 0s,±50 m,404,660,1019,61.2,29.9,5.27,1436.6,7926.9,4798,26,50,701,43,0,49.4,138.9,784.5,,64.5,337.1,868.5,2951.7,2673.9,4,0,552,0,107
