jitter,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
jitter 0 ms,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
jitter 0 ms,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
jitter 0 ms,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
jitter 0 ms,off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
jitter 0 ms,off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
jitter 0 ms,off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
jitter 0 ms,"decay, restored exempt",101,1456,1793,61.4,28.3,7.53,1868.3,10332.8,5300,44,22,688,11,0,77.1,388.8,388.8,,77.3,376.6,1031.6,8425.0,3558.6,1,0,637,0,30
jitter 0 ms,"decay, restored exempt",202,1850,2087,53.7,32.5,8.75,2625.7,17725.0,3925,44,58,708,44,1,97.7,434.4,460.3,29.0,98.4,447.1,1234.0,1294.3,4613.6,2,0,400,0,265
jitter 0 ms,"decay, restored exempt",303,1425,1858,53.6,29.7,5.7,1624.2,8406.6,5370,33,54,685,9,0,65.9,359.7,359.7,,83.2,391.4,274.2,659.7,3108.8,0,0,637,0,38
jitter 0 ms,"decay, restored exempt",404,774,989,61.3,29.8,5.17,1494.6,10292.9,3828,28,51,701,43,0,54.0,108.9,979.5,,68.3,352.9,517.9,986.8,2695.7,0,0,412,0,244
jitter 0 ms,"decay, restored exempt",505,1581,1903,60.3,32.6,10.72,3317.0,22055.3,5831,36,56,721,6,0,97.5,417.6,417.6,,78.7,390.7,345.0,717.6,6864.4,0,0,664,0,50
jitter 0 ms,"decay, restored exempt",606,918,1413,62.2,29.9,4.98,1471.5,8160.6,4838,24,64,690,16,1,68.6,374.8,374.8,29.9,59.6,328.8,447.4,704.8,2801.6,0,0,605,0,62
jitter 0 ms,"decay, restored exempt, truth",101,306,1542,61.1,28.6,5.12,1484.5,6282.6,5913,19,44,688,11,0,34.8,148.8,148.8,,414.6,2089.0,133.0,350.5,2525.1,0,0,666,0,11
jitter 0 ms,"decay, restored exempt, truth",202,861,2283,35.3,36.2,13.08,4922.4,29239.9,6619,24,56,708,44,1,93.3,355.3,374.4,29.0,1616.7,6505.5,477.8,719.2,8527.8,0,0,586,0,78
jitter 0 ms,"decay, restored exempt, truth",303,429,2017,36.2,31.6,9.79,3252.8,19178.1,6663,14,53,685,9,0,44.2,254.7,254.7,,1032.1,3033.4,110.9,359.7,5448.4,0,0,666,0,10
jitter 0 ms,"decay, restored exempt, truth",404,462,1984,36.6,33.9,7.46,2555.1,14199.9,6559,12,66,701,43,0,29.9,45.8,314.5,,764.1,2719.7,96.5,288.9,4315.3,0,0,630,0,28
jitter 0 ms,"decay, restored exempt, truth",505,541,2229,36.0,35.4,12.89,4659.5,28788.9,7034,20,50,721,6,0,67.5,267.6,267.6,,1426.2,4893.0,192.5,417.6,8286.9,0,0,693,0,22
jitter 0 ms,"decay, restored exempt, truth",606,162,1908,36.1,33.0,10.54,3283.8,19858.2,6200,14,36,690,16,1,74.3,269.8,269.8,44.9,1228.2,3244.9,257.1,432.2,5583.7,0,0,664,0,10
jitter 5 ms,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
jitter 5 ms,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
jitter 5 ms,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
jitter 5 ms,off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
jitter 5 ms,off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
jitter 5 ms,off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
jitter 5 ms,"decay, restored exempt",101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
jitter 5 ms,"decay, restored exempt",202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
jitter 5 ms,"decay, restored exempt",303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
