intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
"decay, restored exempt",101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
"decay, restored exempt",202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
"decay, restored exempt",303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
"decay, restored exempt",404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
"decay, restored exempt",505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
"decay, restored exempt",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
"pre-location, m 0.5",101,1363,1800,60.8,28.9,7.94,2026.3,13117.4,5431,42,26,688,11,0,75.7,388.8,388.8,,76.2,377.7,1826.6,12304.6,3682.6,2,0,631,0,48
"pre-location, m 0.5",202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,235
"pre-location, m 0.5",303,1445,1839,53.6,29.7,4.69,1469.2,6723.5,5424,32,69,685,9,0,67.5,359.7,359.7,,83.9,383.6,1007.5,6274.9,2864.0,1,0,640,0,37
"pre-location, m 0.5",404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,190
"pre-location, m 0.5",505,1538,1899,60.3,32.6,8.72,2710.4,16449.2,5911,36,65,721,6,0,97.5,417.6,417.6,,79.7,390.7,342.5,799.0,5271.9,0,0,661,0,54
"pre-location, m 0.5",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,78
"pre-location, m 1.5",101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,49
"pre-location, m 1.5",202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,235
"pre-location, m 1.5",303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,38
"pre-location, m 1.5",404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,190
"pre-location, m 1.5",505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,58
"pre-location, m 1.5",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,78
"both, pre-location, m 1.5",101,9258,4251,68.0,20.4,2.0,518.7,921.2,9784,169,31,688,11,0,464.4,930.5,930.5,,502.3,915.5,600.7,2120.5,612.9,2,11,562,602,117
"both, pre-location, m 1.5",202,10374,4826,76.2,18.8,2.01,591.0,1030.9,10744,191,21,708,44,1,519.1,1019.3,1034.9,29.0,575.9,1034.1,632.3,1061.1,672.9,2,42,267,656,399
"both, pre-location, m 1.5",303,9436,4337,65.3,20.5,2.03,520.6,947.0,10008,176,28,685,9,0,472.5,859.9,859.9,,505.4,948.9,502.5,889.9,594.0,0,8,562,602,114
"both, pre-location, m 1.5",404,9512,4262,70.0,21.1,2.01,439.8,825.0,9971,173,20,701,43,0,470.1,843.4,855.0,,424.8,828.4,510.6,870.0,526.7,4,40,412,616,250
"both, pre-location, m 1.5",505,10278,4836,74.5,19.6,2.0,604.1,1088.2,10480,191,10,721,6,0,495.0,917.5,917.5,,587.5,1088.3,522.5,932.5,694.5,0,6,574,630,141
"both, pre-location, m 1.5",606,9132,4352,68.7,20.7,2.0,480.9,914.2,9626,169,21,690,16,1,284.3,896.6,896.6,29.9,471.8,917.8,312.4,919.1,556.3,0,16,566,594,108
