intent,promote to,promote at,deadline,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
off,to 400,at high,from arrival,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
off,to 400,at high,from arrival,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
off,to 400,at high,from arrival,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
off,to 400,at high,from arrival,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
off,to 400,at high,from arrival,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
off,to 400,at high,from arrival,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
"decay, restored exempt",to 400,at high,from arrival,101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
"decay, restored exempt",to 400,at high,from arrival,202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
"decay, restored exempt",to 400,at high,from arrival,303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
"decay, restored exempt",to 400,at high,from arrival,404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
"decay, restored exempt",to 400,at high,from arrival,505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
"decay, restored exempt",to 400,at high,from arrival,606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
both,to 400,at high,from arrival,101,2643,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,39,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,6,616,101,54
both,to 400,at high,from arrival,202,4692,2785,71.5,17.8,2.0,689.6,2857.6,5559,88,45,708,44,1,200.7,887.1,925.3,29.0,210.2,898.1,584.5,2033.7,1017.1,6,26,368,262,295
both,to 400,at high,from arrival,303,2231,1982,68.0,20.0,2.18,558.6,1902.5,4928,39,42,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,932.2,1,3,622,85,49
both,to 400,at high,from arrival,404,2480,1656,65.3,26.3,3.92,1005.4,4993.2,4846,47,80,701,43,0,57.5,162.4,859.5,,90.9,474.7,651.2,3449.6,1772.4,6,18,469,151,192
both,to 400,at high,from arrival,505,3043,2374,76.9,19.5,2.08,629.1,2278.4,5448,66,31,721,6,0,110.0,462.6,462.6,,95.1,434.9,350.0,859.0,983.5,0,2,637,140,72
both,to 400,at high,from arrival,606,1762,1739,82.6,19.5,2.0,690.5,3273.8,4401,46,28,690,16,1,83.6,434.8,434.8,29.9,73.1,385.3,316.1,1316.8,1181.2,4,7,591,75,78
