shape,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,off,101,56,56,195.3,236.3,24.01,194.4,983.0,0,9,0,2242,58,0,49.1,193.0,217.6,,49.2,157.4,522.4,1185.2,636.6,0,0,0,0,0
workday,off,202,39,39,152.7,237.9,24.26,272.4,1545.0,0,6,0,2165,54,0,48.3,151.2,174.5,,50.3,150.1,836.6,2670.0,910.0,0,0,0,0,0
workday,off,303,42,42,124.8,241.5,28.34,1067.5,6732.5,0,4,0,2206,70,0,48.9,147.9,163.3,,51.7,157.5,4285.3,10062.1,3825.3,0,0,0,0,0
workday,off,404,58,58,168.9,234.5,24.0,210.9,1059.2,0,12,0,2212,55,0,46.9,143.1,229.2,,51.1,147.5,621.8,1826.4,679.5,0,0,0,0,0
workday,"decay, restored exempt",101,1051,4713,180.7,240.4,24.01,551.2,2252.1,5220,9,286,2242,58,0,41.3,121.5,206.5,,40.4,90.3,1119.8,2735.9,1431.7,12,0,2058,0,138
workday,"decay, restored exempt",202,1091,4815,147.5,241.2,24.0,687.6,2741.5,5297,6,291,2165,54,0,36.9,75.0,99.5,,41.1,91.9,1694.7,3985.6,1768.6,4,0,1956,0,158
workday,"decay, restored exempt",303,1651,4562,164.9,248.8,26.1,1631.1,8703.2,5208,7,471,2206,70,0,37.5,77.4,103.3,,40.4,96.2,4521.0,9340.4,4376.5,12,0,1997,0,151
workday,"decay, restored exempt",404,849,5040,128.3,238.6,24.02,503.0,2166.7,5622,5,250,2212,55,0,39.0,113.1,124.2,,41.6,95.8,1268.7,2414.1,1290.1,12,0,2005,0,164
workday,decay to its own level,101,1765,5318,159.4,240.9,24.01,849.2,4315.1,13503,8,430,2242,58,0,43.9,158.6,202.6,,41.5,93.0,616.0,3385.3,1918.7,10,0,1904,0,290
workday,decay to its own level,202,1193,4599,149.8,240.6,24.0,611.9,3275.6,12404,6,325,2165,54,0,36.9,75.0,99.5,,40.8,91.2,461.9,2500.5,1423.9,9,0,1814,0,305
workday,decay to its own level,303,1580,4578,161.3,247.4,25.38,1174.5,8943.7,12493,7,436,2206,70,0,37.3,77.4,89.2,,40.3,96.1,1029.2,8790.4,2576.2,11,0,1860,0,287
workday,decay to its own level,404,2060,5641,94.4,245.0,24.04,1112.6,6860.2,14048,4,554,2212,55,0,42.3,113.1,124.2,,42.8,99.2,932.7,7237.2,2501.3,13,0,1890,0,280
workday,"both, exempt",101,2089,3663,303.1,236.5,24.02,245.8,1339.0,5918,29,358,2242,58,0,40.8,121.7,191.5,,39.3,98.8,415.6,1420.3,616.0,9,20,1901,274,292
workday,"both, exempt",202,1873,3550,276.5,236.3,24.0,244.8,1185.5,5694,14,364,2165,54,0,38.3,79.8,225.0,,39.1,89.8,481.1,1767.5,593.1,8,20,1837,257,281
workday,"both, exempt",303,2818,4289,229.6,236.0,24.0,439.1,2247.1,6845,11,546,2206,70,0,41.2,102.1,157.2,,41.2,102.1,828.0,3107.0,1058.2,11,23,1898,343,249
workday,"both, exempt",404,1795,3945,271.0,234.9,24.0,227.8,1079.6,6170,12,329,2212,55,0,31.4,69.0,109.2,,39.2,93.6,345.8,1040.7,553.7,8,15,1892,258,272
rock burst,off,101,6592,6592,287.8,240.4,24.0,2796.1,18070.8,0,219,0,2986,57,0,58.4,163.7,704.7,,144.3,1079.4,10282.6,22199.8,9968.6,0,0,0,0,0
rock burst,off,202,6207,6207,253.1,247.3,24.06,1741.9,11024.5,0,207,0,3086,75,0,108.1,689.3,1359.4,,129.7,987.1,6469.9,15406.8,6042.4,0,0,0,0,0
rock burst,off,303,6092,6092,246.4,246.6,24.0,1584.2,10053.8,0,202,0,3103,76,1,96.5,700.9,1066.4,1066.4,133.5,944.3,5087.5,14712.1,5449.6,0,0,0,0,0
rock burst,off,404,5764,5764,245.9,242.7,24.0,1241.9,8749.5,0,196,0,3001,63,0,67.7,177.7,584.6,,126.5,909.9,3845.7,11765.1,4152.7,0,0,0,0,0
rock burst,"decay, restored exempt",101,5313,9761,275.6,241.4,24.02,2975.1,15040.8,7524,105,486,2986,57,0,49.5,116.2,704.7,,85.6,486.1,8349.7,18245.8,8292.8,9,0,2791,0,147
rock burst,"decay, restored exempt",202,5284,10007,218.2,268.4,30.63,2615.3,13030.6,7775,119,536,3086,75,0,80.9,674.3,841.1,,82.0,337.4,8134.5,17440.5,7063.1,15,0,2841,0,185
rock burst,"decay, restored exempt",303,5625,10315,186.1,270.9,29.39,2730.5,14911.5,7750,110,563,3103,76,1,77.4,232.5,886.4,886.4,92.5,646.1,7051.6,15750.6,7575.1,15,0,2856,0,186
rock burst,"decay, restored exempt",404,6455,10479,186.5,272.6,37.9,4676.2,21354.1,8350,121,734,3001,63,0,49.6,99.6,569.6,,79.3,398.2,12655.3,21819.2,13582.5,11,0,2809,0,140
