day,local cap,cloud cap,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 8,cloud 0,101,22585,22585,0.0,313.4,48.12,29878.3,87452.5,0,6994,0,2242,58,0,5743.7,26144.9,27611.2,,6498.5,27064.5,81027.9,94757.6,82044.2,0,0,0,0,0
workday,local 8,cloud 0,202,21026,21026,0.0,304.6,48.19,28953.4,86530.5,0,6583,0,2165,54,0,4508.9,21005.7,24060.8,,5456.7,23263.1,81903.0,89821.9,82458.8,0,0,0,0,0
workday,local 8,cloud 0,303,20159,20159,0.0,309.8,48.03,29724.6,86467.9,0,6406,0,2206,70,0,6600.7,25831.5,27171.8,,6115.7,26307.9,84679.5,95232.4,81225.2,0,0,0,0,0
workday,local 8,cloud 0,404,22201,22201,0.0,309.8,47.99,30309.8,86867.6,0,6925,0,2212,55,0,7116.8,27337.3,27994.2,,6642.5,27186.9,83066.2,95149.5,83258.5,0,0,0,0,0
workday,local 8,cloud 20,101,26,26,121.4,196.0,26.91,1380.8,8923.8,0,5,0,2242,58,0,57.6,204.1,248.6,,55.1,170.4,3935.6,10147.2,5050.5,0,0,0,0,0
workday,local 8,cloud 20,202,29,29,110.3,197.8,28.44,1634.8,10754.1,0,4,0,2165,54,0,50.5,148.8,166.2,,54.8,162.1,6438.3,13856.3,5887.1,0,0,0,0,0
workday,local 8,cloud 20,303,32,32,120.4,198.1,28.89,2089.0,13395.3,0,16,0,2206,70,0,46.5,130.4,142.7,,53.1,164.1,7967.2,14239.5,7559.3,0,0,0,0,0
workday,local 8,cloud 20,404,47,47,120.1,193.0,24.25,1502.1,9782.5,0,23,0,2212,55,0,51.8,130.1,229.2,,58.8,160.7,5805.5,11396.5,5464.7,0,0,0,0,0
workday,local 8,cloud 60,101,26,26,126.6,191.6,24.06,652.0,3955.5,0,0,0,2242,58,0,56.6,204.1,248.6,,55.0,171.5,2007.4,4537.2,2322.2,0,0,0,0,0
workday,local 8,cloud 60,202,30,30,117.9,191.9,24.05,584.8,3651.4,0,2,0,2165,54,0,51.6,148.8,166.2,,54.6,161.7,1997.7,4417.8,2020.2,0,0,0,0,0
workday,local 8,cloud 60,303,32,32,129.5,194.9,25.68,1690.0,10736.0,0,7,0,2206,70,0,46.1,130.4,142.7,,52.8,160.4,6342.0,11770.1,6090.6,0,0,0,0,0
workday,local 8,cloud 60,404,42,42,134.3,191.3,24.0,908.4,6303.3,0,9,0,2212,55,0,52.1,140.5,229.2,,57.3,159.7,3347.5,7300.6,3244.5,0,0,0,0,0
workday,local 8,cloud 200,101,26,26,126.6,191.6,24.06,652.0,3955.5,0,0,0,2242,58,0,56.6,204.1,248.6,,55.0,171.5,2007.4,4537.2,2322.2,0,0,0,0,0
workday,local 8,cloud 200,202,30,30,122.0,191.9,24.05,583.0,3650.1,0,0,0,2165,54,0,51.6,148.8,166.2,,54.6,161.7,1993.3,4417.8,2013.6,0,0,0,0,0
workday,local 8,cloud 200,303,32,32,133.9,194.9,25.68,1689.6,10736.0,0,0,0,2206,70,0,46.1,130.4,142.7,,52.7,160.1,6341.4,11770.1,6089.8,0,0,0,0,0
workday,local 8,cloud 200,404,42,42,144.5,191.3,24.0,907.9,6303.3,0,0,0,2212,55,0,52.1,140.5,229.2,,57.3,159.3,3347.5,7300.6,3242.7,0,0,0,0,0
