day,local coldstart,cloud coldstart,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 0 s,cloud 1 min,101,7,7,58.3,278.5,24.05,233.8,1532.5,0,0,0,2242,58,0,47.0,142.6,173.6,,44.6,119.6,704.7,1971.2,799.5,0,0,0,0,0
workday,local 0 s,cloud 1 min,202,1,1,51.0,277.7,24.0,183.3,1004.3,0,0,0,2165,54,0,41.4,106.2,129.5,,43.4,112.7,638.6,1353.7,610.1,0,0,0,0,0
workday,local 0 s,cloud 1 min,303,3,3,57.3,276.8,24.01,672.6,5090.9,0,0,0,2206,70,0,37.9,85.4,112.4,,43.4,115.5,2364.0,5930.7,2389.5,0,0,0,0,0
workday,local 0 s,cloud 1 min,404,3,3,59.3,277.7,24.0,369.2,2599.2,0,0,0,2212,55,0,40.9,108.8,139.2,,45.6,116.7,1362.3,3326.8,1298.5,0,0,0,0,0
workday,local 0 s,cloud 3 min,101,7,7,52.2,278.5,24.05,543.3,4080.8,0,0,0,2242,58,0,50.6,178.0,248.6,,48.0,134.3,1571.3,4856.0,1943.7,0,0,0,0,0
workday,local 0 s,cloud 3 min,202,2,2,50.3,277.7,24.0,362.8,2264.4,0,2,0,2165,54,0,44.4,129.5,136.2,,46.8,134.0,1263.0,2961.2,1249.2,0,0,0,0,0
workday,local 0 s,cloud 3 min,303,3,3,50.9,276.8,24.01,1131.1,8038.2,0,0,0,2206,70,0,42.2,126.0,142.7,,46.9,136.0,4003.9,8719.1,4057.1,0,0,0,0,0
workday,local 0 s,cloud 3 min,404,6,6,57.0,277.7,24.0,546.7,4176.2,0,0,0,2212,55,0,45.0,125.5,199.2,,49.9,133.0,2057.2,5020.4,1933.8,0,0,0,0,0
workday,local 0 s,cloud 10 min,101,509,509,67.7,278.3,24.05,212.1,978.8,0,319,0,2242,58,0,64.6,320.8,338.6,,58.2,196.6,705.0,1526.0,655.1,0,0,0,0,0
workday,local 0 s,cloud 10 min,202,200,200,36.4,278.9,24.05,1264.4,8711.7,0,197,0,2165,54,0,53.6,151.2,279.7,,57.3,185.2,4776.9,10470.8,4535.7,0,0,0,0,0
workday,local 0 s,cloud 10 min,303,448,448,60.4,276.8,24.01,309.2,1829.3,0,232,0,2206,70,0,55.3,179.2,327.9,,55.9,179.2,1009.5,2702.8,1000.6,0,0,0,0,0
workday,local 0 s,cloud 10 min,404,837,837,65.6,277.5,24.0,229.1,1037.9,0,284,0,2212,55,0,57.0,214.2,266.8,,57.3,171.0,496.6,1192.7,719.7,0,0,0,0,0
workday,local 1 min,cloud 1 min,101,24,24,62.1,278.1,24.05,234.7,1533.6,0,0,0,2242,58,0,47.5,144.1,173.6,,44.5,117.9,710.9,1971.2,802.3,0,0,0,0,0
workday,local 1 min,cloud 1 min,202,16,16,51.3,277.7,24.0,184.1,1006.0,0,0,0,2165,54,0,41.4,106.2,129.5,,43.6,114.9,640.2,1353.7,611.6,0,0,0,0,0
workday,local 1 min,cloud 1 min,303,9,9,57.5,276.5,24.01,674.6,5092.3,0,0,0,2206,70,0,37.9,85.4,97.7,,43.7,116.9,2371.1,5930.7,2396.1,0,0,0,0,0
workday,local 1 min,cloud 1 min,404,7,7,59.3,277.0,24.0,370.6,2608.1,0,0,0,2212,55,0,40.9,110.5,139.2,,45.9,118.7,1367.2,3326.8,1302.9,0,0,0,0,0
workday,local 1 min,cloud 3 min,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,local 1 min,cloud 3 min,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0
workday,local 1 min,cloud 3 min,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,local 1 min,cloud 3 min,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,local 1 min,cloud 10 min,101,487,487,67.6,278.0,24.05,212.5,975.7,0,316,0,2242,58,0,63.3,305.8,324.1,,58.2,196.6,714.8,1526.0,657.1,0,0,0,0,0
workday,local 1 min,cloud 10 min,202,207,207,36.4,278.9,24.11,1283.7,8786.4,0,195,0,2165,54,0,54.4,151.2,264.7,,57.7,187.8,4822.2,10470.8,4601.0,0,0,0,0,0
workday,local 1 min,cloud 10 min,303,454,454,60.9,276.5,24.01,310.1,1829.3,0,233,0,2206,70,0,55.3,179.2,327.9,,56.3,181.4,1011.4,2702.8,1002.4,0,0,0,0,0
workday,local 1 min,cloud 10 min,404,840,840,65.7,276.8,24.0,230.9,1040.7,0,284,0,2212,55,0,57.0,214.2,266.8,,57.6,172.3,501.8,1192.7,724.4,0,0,0,0,0
workday,local 5 min,cloud 1 min,101,34,34,62.0,274.5,24.06,240.1,1538.8,0,0,0,2242,58,0,48.3,144.1,196.7,,45.2,121.1,736.0,1971.2,820.8,0,0,0,0,0
workday,local 5 min,cloud 1 min,202,24,24,55.6,274.5,24.0,187.8,1010.6,0,0,0,2165,54,0,41.4,106.2,129.5,,44.4,116.7,655.5,1450.0,621.6,0,0,0,0,0
