day,dial,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,reference,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,reference,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0
workday,reference,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,reference,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,safety 1.0,101,38,38,39.1,277.4,34.64,3083.0,17665.1,0,0,0,2242,58,0,62.3,208.0,264.1,,59.5,185.4,9018.1,34417.3,11421.3,0,0,0,0,0
workday,safety 1.0,202,37,37,37.1,270.9,30.87,1861.4,12797.7,0,6,0,2165,54,0,54.1,166.2,174.5,,57.3,174.6,7176.4,22601.3,6684.7,0,0,0,0,0
workday,safety 1.0,303,20,20,39.3,274.9,34.52,3207.8,17263.2,0,0,0,2206,70,0,51.7,157.7,179.2,,56.7,174.6,13038.0,32337.1,11686.5,0,0,0,0,0
workday,safety 1.0,404,45,45,59.1,263.7,24.0,1006.8,6233.7,0,10,0,2212,55,0,55.1,191.8,214.2,,59.0,178.7,3724.4,7654.2,3598.5,0,0,0,0,0
workday,safety 1.3,101,26,26,73.0,282.3,24.05,104.7,460.9,0,0,0,2242,58,0,47.3,148.0,218.6,,42.7,117.7,328.4,739.9,323.4,0,0,0,0,0
workday,safety 1.3,202,6,6,64.4,281.7,24.0,102.3,454.1,0,0,0,2165,54,0,39.1,103.8,121.2,,42.0,110.1,342.7,809.8,317.6,0,0,0,0,0
workday,safety 1.3,303,5,5,71.0,282.1,24.0,152.6,766.4,0,0,0,2206,70,0,37.5,89.2,127.7,,41.7,116.5,489.2,1490.7,493.2,0,0,0,0,0
workday,safety 1.3,404,13,13,72.9,281.8,24.0,103.3,447.6,0,0,0,2212,55,0,39.0,98.1,184.2,,43.2,115.2,285.3,773.1,313.6,0,0,0,0,0
workday,safety 1.5,101,26,26,103.3,285.2,24.04,68.2,303.6,0,0,0,2242,58,0,41.3,133.0,173.6,,37.4,89.7,221.6,566.5,208.9,0,0,0,0,0
workday,safety 1.5,202,6,6,92.1,285.2,24.0,65.9,296.7,0,0,0,2165,54,0,33.3,69.5,106.2,,37.3,91.5,185.5,464.9,200.2,0,0,0,0,0
workday,safety 1.5,303,5,5,99.5,285.4,24.0,68.3,304.6,0,0,0,2206,70,0,32.2,57.9,85.4,,37.0,92.4,211.7,459.8,209.0,0,0,0,0,0
workday,safety 1.5,404,8,8,101.6,284.8,24.0,68.7,295.2,0,0,0,2212,55,0,33.5,68.1,139.2,,37.8,93.2,165.0,386.8,206.6,0,0,0,0,0
workday,horizon 5 min,101,72,72,86.5,252.4,24.07,597.4,3438.0,0,7,0,2242,58,0,74.7,264.1,278.6,,67.7,219.8,2327.3,5023.2,2072.3,0,0,0,0,0
workday,horizon 5 min,202,148,148,71.3,251.9,24.12,772.5,4267.0,0,14,0,2165,54,0,64.1,223.8,263.1,,66.1,214.5,2712.7,5584.1,2691.3,0,0,0,0,0
workday,horizon 5 min,303,135,135,62.9,252.1,24.17,1068.7,6302.9,0,9,0,2206,70,0,58.1,156.0,209.2,,66.1,212.6,3816.4,7579.1,3750.0,0,0,0,0,0
workday,horizon 5 min,404,173,173,90.0,250.4,24.01,514.1,3053.3,0,22,0,2212,55,0,64.4,229.2,245.5,,64.8,206.4,1672.4,3609.2,1752.2,0,0,0,0,0
workday,horizon 30 min,101,26,26,65.6,282.2,24.05,129.3,582.7,0,0,0,2242,58,0,47.8,163.0,233.6,,43.8,118.3,402.9,809.9,409.8,0,0,0,0,0
workday,horizon 30 min,202,7,7,58.5,280.7,24.0,118.4,539.5,0,0,0,2165,54,0,41.1,99.5,136.2,,42.7,113.3,406.6,932.8,373.7,0,0,0,0,0
workday,horizon 30 min,303,5,5,64.4,281.1,24.0,295.4,2103.7,0,0,0,2206,70,0,37.7,96.0,127.7,,42.7,116.3,1052.4,3330.4,1008.8,0,0,0,0,0
workday,horizon 30 min,404,13,13,71.0,281.7,24.0,131.1,659.2,0,0,0,2212,55,0,39.5,108.8,184.2,,44.0,117.8,372.8,839.1,416.0,0,0,0,0,0
workday,horizon 60 min,101,26,26,75.1,283.5,24.05,97.0,431.8,0,0,0,2242,58,0,46.0,148.0,218.6,,41.5,108.8,308.2,652.6,299.7,0,0,0,0,0
workday,horizon 60 min,202,6,6,66.6,282.7,24.0,93.4,415.3,0,0,0,2165,54,0,38.0,99.5,121.2,,40.9,103.4,303.0,736.6,287.8,0,0,0,0,0
workday,horizon 60 min,303,5,5,72.3,283.0,24.0,115.2,525.8,0,0,0,2206,70,0,34.5,74.2,85.4,,40.9,109.0,361.3,734.6,362.7,0,0,0,0,0
workday,horizon 60 min,404,14,14,75.1,282.7,24.0,96.5,423.9,0,0,0,2212,55,0,38.2,98.1,184.2,,42.2,112.3,264.5,680.9,291.2,0,0,0,0,0
workday,step 5 s,101,29,29,55.5,278.4,24.05,398.9,2854.1,0,0,0,2242,58,0,50.4,178.0,233.6,,47.8,136.7,1155.0,3486.2,1403.1,0,0,0,0,0
workday,step 5 s,202,16,16,46.0,278.3,24.0,479.0,3226.5,0,0,0,2165,54,0,45.2,129.5,136.2,,47.0,135.0,1703.3,3846.2,1680.6,0,0,0,0,0
workday,step 5 s,303,9,9,55.0,277.6,24.01,908.6,6170.0,0,0,0,2206,70,0,41.2,126.0,142.7,,46.8,139.8,3339.4,8435.7,3235.8,0,0,0,0,0
workday,step 5 s,404,10,10,64.7,277.9,24.0,258.2,1691.5,0,4,0,2212,55,0,44.5,123.8,214.2,,48.4,137.1,775.4,2126.4,873.7,0,0,0,0,0
workday,step 60 s,101,30,30,50.1,277.7,24.06,742.0,5349.0,0,0,0,2242,58,0,51.7,178.0,248.6,,49.0,142.4,2107.2,6382.2,2679.8,0,0,0,0,0
workday,step 60 s,202,19,19,43.6,276.5,24.0,610.5,4164.5,0,0,0,2165,54,0,45.2,129.5,136.2,,48.0,136.3,2229.1,5033.0,2164.7,0,0,0,0,0
workday,step 60 s,303,13,13,49.5,275.9,24.01,1261.5,8853.4,0,0,0,2206,70,0,43.7,126.0,147.9,,48.1,142.9,4502.6,9524.6,4533.8,0,0,0,0,0
workday,step 60 s,404,10,10,51.4,276.6,24.0,860.8,6201.7,0,0,0,2212,55,0,46.6,125.5,214.2,,52.1,137.1,3138.3,7202.6,3096.2,0,0,0,0,0
workday,scale-up step 5,101,30,30,53.3,278.1,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.7,4691.0,1826.1,0,0,0,0,0
workday,scale-up step 5,202,16,16,46.0,277.7,24.0,396.0,2450.3,0,2,0,2165,54,0,44.7,129.5,136.2,,47.2,136.0,1375.5,3218.3,1368.5,0,0,0,0,0
workday,scale-up step 5,303,9,9,50.9,276.5,24.01,1166.7,8369.7,0,0,0,2206,70,0,41.4,126.0,142.7,,47.2,140.5,4126.5,8819.6,4186.6,0,0,0,0,0
workday,scale-up step 5,404,10,10,55.2,277.0,24.0,581.3,4430.2,0,0,0,2212,55,0,45.0,125.5,199.2,,50.3,136.2,2162.2,5110.4,2061.1,0,0,0,0,0
workday,scale-up step 20,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,scale-up step 20,202,16,16,50.3,277.7,24.0,364.8,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1269.1,2961.2,1255.5,0,0,0,0,0
workday,scale-up step 20,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,scale-up step 20,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,scale-up cooldown 1 min,101,30,30,50.3,278.0,24.06,671.3,5021.8,0,0,0,2242,58,0,53.0,178.0,248.6,,49.4,145.2,1921.3,6157.2,2412.4,0,0,0,0,0
workday,scale-up cooldown 1 min,202,24,24,41.5,277.2,24.0,769.3,5226.8,0,2,0,2165,54,0,45.5,129.5,136.2,,48.4,138.6,2854.4,6680.4,2746.5,0,0,0,0,0
workday,scale-up cooldown 1 min,303,12,12,48.0,276.2,24.01,1434.6,9927.5,0,0,0,2206,70,0,42.9,126.0,149.2,,48.0,142.8,5179.7,10494.8,5170.6,0,0,0,0,0
workday,scale-up cooldown 1 min,404,12,12,52.2,276.4,24.0,738.9,5357.0,0,2,0,2212,55,0,46.6,128.1,214.2,,52.2,140.3,2715.0,6370.6,2642.6,0,0,0,0,0
workday,scale-up cooldown 5 min,101,55,55,32.5,286.6,32.75,2740.0,17359.5,0,1,0,2242,58,0,56.6,200.8,223.0,,55.2,177.1,7868.5,27592.3,10141.9,0,0,0,0,0
workday,scale-up cooldown 5 min,202,90,90,32.6,281.9,27.68,1791.8,12486.6,0,6,0,2165,54,0,54.7,145.0,174.7,,54.4,166.5,7025.8,13575.8,6476.3,0,0,0,0,0
workday,scale-up cooldown 5 min,303,137,137,43.6,274.7,24.12,1254.1,9017.1,0,11,0,2206,70,0,48.2,147.9,187.4,,54.2,172.6,4393.5,9576.8,4499.8,0,0,0,0,0
workday,scale-up cooldown 5 min,404,283,283,53.4,273.4,24.0,775.4,5211.3,0,33,0,2212,55,0,56.5,213.6,221.8,,56.8,165.8,2826.0,6571.6,2749.5,0,0,0,0,0
workday,local floor 0,101,33,33,53.3,278.1,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,local floor 0,202,17,17,50.3,278.4,24.0,364.5,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1254.7,0,0,0,0,0
workday,local floor 0,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,local floor 0,404,11,11,56.8,277.7,24.0,549.1,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1942.1,0,0,0,0,0
workday,local floor 12,101,0,0,49.0,288.1,24.02,565.7,4318.0,0,0,0,2242,58,0,51.9,187.6,248.6,,48.3,142.4,1684.4,5286.2,2025.2,0,0,0,0,0
workday,local floor 12,202,13,13,49.9,287.8,24.0,376.1,2428.4,0,5,0,2165,54,0,45.2,106.6,151.2,,46.8,138.2,1301.6,3518.0,1294.0,0,0,0,0,0
workday,local floor 12,303,5,5,51.1,287.8,24.0,998.7,6891.5,0,0,0,2206,70,0,42.0,141.0,164.2,,46.2,140.5,3685.1,9545.7,3567.6,0,0,0,0,0
workday,local floor 12,404,8,8,57.5,287.8,24.0,480.2,3376.7,0,2,0,2212,55,0,43.4,128.1,214.2,,49.9,147.0,1745.5,4338.6,1691.3,0,0,0,0,0
rock burst,reference,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
