day,local cap,holding,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 12,reference,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,local 12,reference,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0
workday,local 12,reference,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,local 12,reference,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,local 12,cloud window 0,101,30,30,49.3,278.2,24.05,991.0,7195.8,0,0,0,2242,58,0,52.5,178.0,248.6,,49.3,136.9,2769.0,8409.2,3610.3,0,0,0,0,0
workday,local 12,cloud window 0,202,15,15,47.2,277.7,24.0,474.7,3133.9,0,2,0,2165,54,0,45.5,130.5,136.2,,48.0,136.7,1616.1,3891.2,1656.1,0,0,0,0,0
workday,local 12,cloud window 0,303,9,9,46.6,277.9,24.09,1746.2,11615.7,0,0,0,2206,70,0,43.7,112.7,134.2,,48.3,140.5,6430.1,12124.5,6310.3,0,0,0,0,0
workday,local 12,cloud window 0,404,18,18,54.9,277.0,24.0,865.3,6572.9,0,8,0,2212,55,0,46.9,125.5,199.2,,51.9,140.3,3232.4,7685.4,3113.2,0,0,0,0,0
workday,local 12,cloud window 15 min,101,30,30,91.6,277.9,24.05,96.2,455.9,0,0,0,2242,58,0,40.8,148.0,173.6,,41.4,115.5,260.4,787.6,296.3,0,0,0,0,0
workday,local 12,cloud window 15 min,202,15,15,76.0,277.6,24.0,99.1,464.2,0,0,0,2165,54,0,41.1,121.2,129.5,,41.4,111.5,305.8,838.5,307.8,0,0,0,0,0
workday,local 12,cloud window 15 min,303,9,9,82.7,276.2,24.01,102.3,496.7,0,0,0,2206,70,0,34.7,89.2,112.7,,39.7,106.0,317.6,661.5,324.0,0,0,0,0,0
