day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,"10 min, 15 s.decisions","10 min, 15 s.in_time_share","10 min, 15 s.never","10 min, 15 s.unwinnable","10 min, 15 s.latency_p50_s","10 min, 15 s.slack_p50_s","10 min, 30 s.decisions","10 min, 30 s.in_time_share","10 min, 30 s.never","10 min, 30 s.unwinnable","10 min, 30 s.latency_p50_s","10 min, 30 s.slack_p50_s","10 min, 120 s.decisions","10 min, 120 s.in_time_share","10 min, 120 s.never","10 min, 120 s.unwinnable","10 min, 120 s.latency_p50_s","10 min, 120 s.slack_p50_s","30 min, 15 s.decisions","30 min, 15 s.in_time_share","30 min, 15 s.never","30 min, 15 s.unwinnable","30 min, 15 s.latency_p50_s","30 min, 15 s.slack_p50_s","30 min, 30 s.decisions","30 min, 30 s.in_time_share","30 min, 30 s.never","30 min, 30 s.unwinnable","30 min, 30 s.latency_p50_s","30 min, 30 s.slack_p50_s","30 min, 120 s.decisions","30 min, 120 s.in_time_share","30 min, 120 s.never","30 min, 120 s.unwinnable","30 min, 120 s.latency_p50_s","30 min, 120 s.slack_p50_s","60 min, 15 s.decisions","60 min, 15 s.in_time_share","60 min, 15 s.never","60 min, 15 s.unwinnable","60 min, 15 s.latency_p50_s","60 min, 15 s.slack_p50_s","60 min, 30 s.decisions","60 min, 30 s.in_time_share","60 min, 30 s.never","60 min, 30 s.unwinnable","60 min, 30 s.latency_p50_s","60 min, 30 s.slack_p50_s","60 min, 120 s.decisions","60 min, 120 s.in_time_share","60 min, 120 s.never","60 min, 120 s.unwinnable","60 min, 120 s.latency_p50_s","60 min, 120 s.slack_p50_s"
workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0,293,0.6109215017064846,2,11,59.905,254.220705899,293,0.5802047781569966,2,14,59.905,254.596281537,293,0.46757679180887374,2,70,59.905,201.337419477,753,0.7436918990703851,8,11,57.951,728.693682709,753,0.7317397078353254,8,14,57.951,729.810194241,753,0.6852589641434262,8,70,57.951,705.326799795,1325,0.8090566037735849,8,11,54.577,1482.051118265,1325,0.8015094339622642,8,14,54.577,1486.831873504,1325,0.7750943396226415,8,70,54.577,1464.054667844
workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0,280,0.6107142857142858,2,9,57.388,240.865491464,280,0.6035714285714285,2,14,57.388,227.294694373,280,0.48928571428571427,2,61,57.388,176.414891867,696,0.7399425287356322,4,9,54.68,717.180191535,696,0.735632183908046,4,14,54.68,703.505481628,696,0.6781609195402298,4,61,54.68,678.382410182,1201,0.8309741881765196,6,9,52.926,1336.387290248,1201,0.8276436303080766,6,14,52.926,1328.277293459,1201,0.791007493755204,6,61,52.926,1309.000347876
workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0,320,0.528125,2,11,77.492,254.245277004,320,0.5125,2,21,77.492,242.399617286,320,0.4125,2,82,77.492,203.955151407,751,0.6591211717709721,5,11,65.159,736.827046845,751,0.6524633821571239,5,21,65.159,729.207489039,751,0.607190412782956,5,82,65.159,694.490858895,1287,0.7031857031857032,9,11,65.159,1460.328161623,1287,0.6993006993006993,9,21,65.159,1450.800768155,1287,0.6721056721056721,9,82,65.159,1434.246065357
workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0,277,0.5884476534296029,0,16,59.293,222.298268925,277,0.5631768953068592,0,26,59.293,209.252156788,277,0.4151624548736462,0,77,59.293,198.569419804,741,0.7031039136302294,5,16,64.505,756.90136469,741,0.6936572199730094,5,26,64.505,744.746419553,741,0.6342780026990553,5,77,64.505,711.940339879,1293,0.7610208816705336,9,16,59.876,1526.427546921,1293,0.7556071152358855,9,26,59.876,1522.204432898,1293,0.720030935808198,9,77,59.876,1502.192338317
workday,decay,101,1387,4133,45.9,279.4,24.06,1035.3,7929.5,11926,0,84,2242,58,0,41.6,106.7,157.6,,40.8,90.7,485.4,2290.5,2308.2,10,0,1599,0,595,293,0.6723549488054608,2,11,47.804,239.792035011,293,0.6450511945392492,2,14,47.804,236.673725993,293,0.5085324232081911,2,70,47.804,205.539711113,753,0.796812749003984,8,11,49.188,713.499128938,753,0.7861885790172642,8,14,49.188,702.75116451,753,0.7290836653386454,8,70,49.188,679.120695173,1325,0.84,9,11,47.719,1437.871053904,1325,0.8339622641509434,9,14,47.719,1433.99166371,1325,0.8007547169811321,9,70,47.719,1399.617634615
workday,decay,202,1263,3551,40.9,278.7,24.0,797.1,5338.2,11149,0,96,2165,54,0,37.5,75.0,99.5,,40.4,90.3,677.2,4367.5,1821.0,4,0,1548,0,567,280,0.7107142857142857,2,9,43.194,244.101978084,280,0.7,2,14,43.194,229.546578846,280,0.6,2,61,43.194,176.414891867,696,0.8089080459770115,5,9,45.203,685.064388974,696,0.8045977011494253,5,14,45.203,680.543529159,696,0.7600574712643678,5,61,45.203,645.940218226,1201,0.8492922564529559,9,9,45.014,1416.103812393,1201,0.8467943380516236,9,14,45.014,1406.027793429,1201,0.8193172356369692,9,61,45.014,1368.225837287
workday,decay,303,1535,3833,45.5,278.4,24.01,1599.7,15950.9,11674,0,117,2206,70,0,36.0,58.9,97.7,,40.5,91.2,1744.7,17132.0,3493.1,12,0,1580,0,568,320,0.65625,2,11,44.518,233.220930246,320,0.628125,2,21,44.518,230.692312931,320,0.4875,2,82,44.518,193.478556979,751,0.7576564580559254,6,11,44.518,661.794566922,751,0.7443408788282291,6,21,44.518,686.993111354,751,0.6790945406125166,6,82,44.518,675.152397915,1287,0.8034188034188035,10,11,44.609,1385.885794671,1287,0.7956487956487956,10,21,44.609,1395.135768101,1287,0.756021756021756,10,82,44.609,1405.176214426
workday,decay,404,1555,3672,47.7,277.9,24.0,1129.3,8449.3,11550,0,131,2212,55,0,37.4,83.1,94.2,,41.6,96.5,939.0,2120.7,2538.1,7,0,1586,0,578,277,0.6570397111913358,0,16,44.928,207.373676954,277,0.628158844765343,0,26,44.928,207.298268925,277,0.48014440433212996,0,77,44.928,187.143337194,741,0.7678812415654521,5,16,49.098,748.466888136,741,0.7530364372469636,5,26,49.098,741.90136469,741,0.6936572199730094,5,77,49.098,718.66625104,1293,0.8259860788863109,9,16,49.098,1497.655919575,1293,0.8174787316318639,9,26,49.098,1504.834370032,1293,0.7834493426140758,9,77,49.098,1492.940229341
workday,"decay, oracle",101,2509,13138,38.0,281.2,24.32,1827.1,7394.7,25699,0,222,2242,58,0,33.6,54.1,76.5,,656.9,5494.9,114.5,294.2,2699.4,0,0,2091,0,93,293,0.8498293515358362,2,11,42.951,210.176775727,293,0.8156996587030717,2,14,42.951,202.049305144,293,0.6450511945392492,2,70,42.951,142.795773811,753,0.9256308100929614,8,11,47.719,542.683715775,753,0.9123505976095617,8,14,47.719,553.53584647,753,0.8353253652058433,8,70,47.719,525.825985863,1325,0.9547169811320755,9,11,44.753,1131.808691319,1325,0.9471698113207547,9,14,44.753,1125.185848862,1325,0.9011320754716982,9,70,44.753,1136.938230904
workday,"decay, oracle",202,2214,11815,31.5,280.5,24.11,1649.8,6878.8,24815,0,196,2165,54,0,30.8,54.5,75.0,,558.3,4959.1,117.2,318.7,2467.6,0,0,2021,0,90,280,0.8642857142857143,2,9,36.884,214.236396876,280,0.8428571428571429,2,14,36.884,203.486574436,280,0.6642857142857143,2,61,36.884,145.13973922,696,0.9396551724137931,5,9,39.765,464.55160081,696,0.9310344827586207,5,14,39.765,459.078842738,696,0.8491379310344828,5,61,39.765,460.099826522,1201,0.9616985845129059,9,9,40.918,1087.985275172,1201,0.9567027477102414,9,14,40.918,1084.888002207,1201,0.9092422980849292,9,61,40.918,1063.200196807
