day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0,753,0.9442231075697212,0,14,36.153,758.589758754,753,0.7317397078353254,8,14,57.951,729.810194241,80,0.675,0,13,35.76,346.782388998,80,0.5875,0,13,41.043,366.147114512,753,0.852589641434263,0,85,36.153,676,753,0.6666666666666666,8,85,57.951,646.2,152,0.9342105263157895,0,2,39.422,744.783189567
workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0,696,0.9497126436781609,0,14,35.152,764.033124391,696,0.735632183908046,4,14,54.68,703.505481628,66,0.7575757575757576,0,10,34.77,371.73512221,66,0.696969696969697,1,10,38.028,285.574482715,696,0.8491379310344828,0,84,35.152,734.6,696,0.6508620689655172,4,84,54.68,654.3,147,0.9727891156462585,0,1,35.744,714.212553796
workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0,751,0.9227696404793608,0,21,36.8,721.827046845,751,0.6524633821571239,5,21,65.159,729.207489039,104,0.6730769230769231,0,15,37.127,406.038253612,104,0.5384615384615384,0,15,40.31,354.939320117,751,0.8162450066577897,0,114,36.8,693.6,751,0.5832223701731025,5,114,65.159,649,149,0.8926174496644296,0,7,35.238,770.178768689
workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0,741,0.9203778677462888,0,26,37.978,792.719532906,741,0.6936572199730094,5,26,64.505,744.746419553,62,0.6129032258064516,0,17,33.79,456.400067985,62,0.4838709677419355,1,17,44.79,402.643543131,741,0.8164642375168691,0,107,37.978,752.8,741,0.6126855600539811,5,107,64.505,692.1,161,0.9254658385093167,0,6,39.402,879.054849455
workday,decay,101,1387,4133,45.9,279.4,24.06,1035.3,7929.5,11926,0,84,2242,58,0,41.6,106.7,157.6,,40.8,90.7,485.4,2290.5,2308.2,10,0,1599,0,595,753,0.950863213811421,0,14,35.306,745.807253466,753,0.7861885790172642,8,14,49.188,702.75116451,80,0.6875,0,13,35.815,348.596229992,80,0.5375,0,13,39.151,502.693576297,753,0.8605577689243028,0,85,35.306,672.9,753,0.7065073041168659,8,85,49.188,641.7,152,0.9342105263157895,0,2,35.539,759.783189567
workday,decay,202,1263,3551,40.9,278.7,24.0,797.1,5338.2,11149,0,96,2165,54,0,37.5,75.0,99.5,,40.4,90.3,677.2,4367.5,1821.0,4,0,1548,0,567,696,0.9525862068965517,0,14,34.111,763.659688508,696,0.8045977011494253,5,14,45.203,680.543529159,66,0.7727272727272727,0,10,34.661,425.002045328,66,0.7575757575757576,1,10,36.181,350.036771436,696,0.8505747126436781,0,84,34.111,736.7,696,0.7169540229885057,5,84,45.203,654.3,147,0.9727891156462585,0,1,35.468,714.212553796
workday,decay,303,1535,3833,45.5,278.4,24.01,1599.7,15950.9,11674,0,117,2206,70,0,36.0,58.9,97.7,,40.5,91.2,1744.7,17132.0,3493.1,12,0,1580,0,568,751,0.9254327563249002,0,21,35.374,728.324198319,751,0.7443408788282291,6,21,44.518,686.993111354,104,0.7115384615384616,0,15,37.356,405.579333114,104,0.6057692307692307,0,15,40.31,406.038253612,751,0.8189081225033289,0,114,35.374,693.6,751,0.6498002663115846,6,114,44.518,641.1,149,0.8926174496644296,0,7,34.587,755.178768689
workday,decay,404,1555,3672,47.7,277.9,24.0,1129.3,8449.3,11550,0,131,2212,55,0,37.4,83.1,94.2,,41.6,96.5,939.0,2120.7,2538.1,7,0,1586,0,578,741,0.9271255060728745,0,26,35.475,796.814172628,741,0.7530364372469636,5,26,49.098,741.90136469,62,0.6129032258064516,0,17,31.97,469.062731279,62,0.532258064516129,1,17,44.14,469.062731279,741,0.8218623481781376,0,107,35.475,763.3,741,0.6572199730094467,5,107,49.098,707.4,161,0.9316770186335404,0,6,36.875,879.054849455
workday,"decay, oracle",101,2509,13138,38.0,281.2,24.32,1827.1,7394.7,25699,0,222,2242,58,0,33.6,54.1,76.5,,656.9,5494.9,114.5,294.2,2699.4,0,0,2091,0,93,753,0.9548472775564409,0,14,30.185,665.294786234,753,0.9123505976095617,8,14,47.719,553.53584647,80,0.7,0,13,31.711,346.782388998,80,0.675,0,13,34.935,348.596229992,753,0.8472775564409031,0,85,30.185,632,753,0.7835325365205843,8,85,47.719,557.8,152,0.9407894736842105,0,2,33.315,684.669499754
workday,"decay, oracle",202,2214,11815,31.5,280.5,24.11,1649.8,6878.8,24815,0,196,2165,54,0,30.8,54.5,75.0,,558.3,4959.1,117.2,318.7,2467.6,0,0,2021,0,90,696,0.9583333333333334,0,14,31.111,639.983011111,696,0.9310344827586207,5,14,39.765,459.078842738,66,0.7727272727272727,0,10,28.524,425.873004857,66,0.7575757575757576,0,10,30.821,389.683696185,696,0.8448275862068966,0,84,31.111,639.3,696,0.8002873563218391,5,84,39.765,455.9,147,0.9795918367346939,0,1,31.443,621.782494905
