workforce,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
small crew,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,9,0,69.8,373.8,373.8,,94.5,456.6,3643.1,18716.1,3445.1,0,0,0,0,0
small crew,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,27,0,91.8,451.9,505.3,,144.7,495.9,5307.9,21729.0,7281.4,0,0,0,0,0
small crew,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
small crew,off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,38,0,79.2,314.5,1684.5,,78.9,383.5,4144.2,24551.7,5518.4,0,0,0,0,0
small crew,off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,4,0,120.2,417.6,417.6,,198.8,479.5,2051.4,2651.3,5512.9,0,0,0,0,0
small crew,off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,12,1,84.7,404.8,404.8,29.9,132.0,408.7,4544.7,25986.0,5139.5,0,0,0,0,0
small crew,"decay, restored exempt",101,1352,1809,61.0,28.8,7.28,1964.8,12203.2,5378,42,25,688,9,0,69.8,388.8,388.8,,75.9,375.9,284.8,853.8,3595.9,0,0,639,0,29
small crew,"decay, restored exempt",202,1739,2108,53.2,33.0,8.22,2528.4,15776.9,5686,42,71,708,27,0,84.6,331.9,445.3,,92.7,427.0,1393.5,7138.4,4315.1,4,0,575,0,108
small crew,"decay, restored exempt",303,1375,1833,53.6,29.7,5.74,1693.8,8272.6,5389,31,68,685,9,0,65.9,359.7,359.7,,80.8,381.4,1120.9,8044.9,3248.8,1,0,642,0,34
small crew,"decay, restored exempt",404,615,996,61.1,30.0,7.16,1809.4,11022.0,4227,26,36,701,38,0,49.6,329.5,799.5,,64.1,339.1,606.6,806.8,3287.5,1,0,491,0,170
small crew,"decay, restored exempt",505,1467,1893,60.3,32.6,10.28,3158.7,20375.4,5866,37,60,721,4,0,120.2,417.6,417.6,,77.3,379.0,281.4,732.6,6147.2,0,0,679,0,37
small crew,"decay, restored exempt",606,781,1416,62.2,29.9,5.98,1677.7,10262.2,4559,23,52,690,12,1,80.9,374.8,374.8,29.9,57.6,326.8,427.2,986.8,3385.8,2,0,640,0,34
small crew,"both, exempt",101,2534,2278,65.7,24.0,3.02,799.9,2789.9,5512,61,32,688,9,0,74.8,403.8,403.8,,112.0,628.7,313.1,1401.4,1355.4,1,5,631,90,38
small crew,"both, exempt",202,4139,2753,67.0,19.6,2.14,878.1,4241.4,6153,71,70,708,27,0,138.5,676.9,820.3,,171.3,808.9,707.9,3133.4,1380.7,5,13,494,208,186
small crew,"both, exempt",303,2068,1994,67.7,20.1,2.2,560.5,1928.5,4917,40,32,685,9,0,72.5,374.7,374.7,,87.3,403.9,389.2,1954.9,926.9,1,2,627,79,44
small crew,"both, exempt",404,2524,1772,70.6,21.5,2.12,873.9,4462.4,5016,60,53,701,38,0,56.7,479.5,859.5,,92.9,474.7,557.7,3168.9,1479.6,5,17,481,147,184
